# Matter power spectrum P(k) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.017768204720e-06       7.368668906329e+01 
       2.013117065551e-05       1.598249961134e+02 
       3.127368623152e-05       2.443900573144e+02 
       4.246761821429e-05       3.282332806137e+02 
       5.373554514272e-05       4.118153170678e+02 
       6.510047082172e-05       4.954659818953e+02 
       7.658597794245e-05       5.794564469124e+02 
       8.821638686582e-05       6.640282286237e+02 
       1.000169211334e-04       7.494075649115e+02 
       1.120138812866e-04       8.358136599737e+02 
       1.242348285901e-04       9.234640425441e+02 
       1.367087802636e-04       1.012578397612e+03 
       1.494664178164e-04       1.103381576340e+03 
       1.625403100413e-04       1.196106126564e+03 
       1.759651521417e-04       1.290994548736e+03 
       1.897780223194e-04       1.388301435434e+03 
       2.040186569110e-04       1.488295492674e+03 
       2.187297447984e-04       1.591261575940e+03 
       2.339572412864e-04       1.697502695387e+03 
       2.497507008914e-04       1.807342030261e+03 
       2.661636274439e-04       1.921124939040e+03 
       2.832538385149e-04       2.039220946639e+03 
       3.010838393218e-04       2.162025658011e+03 
       3.197211988802e-04       2.289962555443e+03 
       3.392389181229e-04       2.423484587960e+03 
       3.597157759348e-04       2.563075446301e+03 
       3.812366344790e-04       2.709250397591e+03 
       4.038926798210e-04       2.862556491363e+03 
       4.277815677867e-04       3.023571937412e+03 
       4.530074384697e-04       3.192904412357e+03 
       4.796807563165e-04       3.371188015824e+03 
       5.079179270207e-04       3.559078551617e+03 
       5.378406386927e-04       3.757246887417e+03 
       5.695748744280e-04       3.966369997802e+03 
       6.032495483134e-04       4.187119585214e+03 
       6.389947290495e-04       4.420148020836e+03 
       6.769394364803e-04       4.666071812821e+03 
       7.172090273991e-04       4.925452652167e+03 
       7.599222275715e-04       5.198776811669e+03 
       8.051879143593e-04       5.486433644825e+03 
       8.531018034307e-04       5.788694364915e+03 
       9.037432361260e-04       6.105692595194e+03 
       9.571722920002e-04       6.437408335947e+03 
       1.013427455223e-03       6.783656818599e+03 
       1.072524038191e-03       7.144083602721e+03 
       1.134453510456e-03       7.518166586794e+03 
       1.199183801970e-03       7.905225786490e+03 
       1.237436309153e-03       8.132072995168e+03 
       1.266660558409e-03       8.304439159353e+03 
       1.336809238052e-03       8.714864316009e+03 
       1.409537868692e-03       9.135464073186e+03 
       1.484740239600e-03       9.565133525092e+03 
       1.562299291522e-03       1.000272752373e+04 
       1.642090484503e-03       1.044708611215e+04 
       1.723984961446e-03       1.089705742697e+04 
       1.807852375162e-03       1.135151658270e+04 
       1.893563298875e-03       1.180938079906e+04 
       1.980991187410e-03       1.226962083167e+04 
       2.070013894393e-03       1.273126816855e+04 
       2.160514777863e-03       1.319342053663e+04 
       2.252383443363e-03       1.365524482105e+04 
       2.345516181282e-03       1.411597879125e+04 
       2.439816156371e-03       1.457493065665e+04 
       2.535193403933e-03       1.503147738017e+04 
       2.631564681181e-03       1.548506189469e+04 
       2.728853215055e-03       1.593518825856e+04 
       2.826988380429e-03       1.638141592256e+04 
       2.925905335651e-03       1.682335582237e+04 
       3.025544636276e-03       1.726066201843e+04 
       3.125851842553e-03       1.769303218659e+04 
       3.226777131995e-03       1.812020023706e+04 
       3.328274924875e-03       1.854193584199e+04 
       3.430303527867e-03       1.895804349729e+04 
       3.532824798954e-03       1.936835612702e+04 
       3.635803835260e-03       1.977273731851e+04 
       3.739208684334e-03       2.017107177020e+04 
       3.843010078631e-03       2.056326798213e+04 
       3.947181192420e-03       2.094925184591e+04 
       4.051697420008e-03       2.132896051170e+04 
       4.156536173955e-03       2.170234532332e+04 
       4.261676701857e-03       2.206937799596e+04 
       4.367099920266e-03       2.243003061623e+04 
       4.472788264292e-03       2.278429439409e+04 
       4.578725551528e-03       2.313216884020e+04 
       4.684896858992e-03       2.347366205373e+04 
       4.791288411857e-03       2.380879363566e+04 
       4.897887482858e-03       2.413758802587e+04 
       5.004682301321e-03       2.446006770129e+04 
       5.111661970888e-03       2.477626732849e+04 
       5.218816395059e-03       2.508621997921e+04 
       5.326136209784e-03       2.538996255018e+04 
       5.433612722403e-03       2.568754567570e+04 
       5.541237856288e-03       2.597901468774e+04 
       5.649004100628e-03       2.626441854184e+04 
       5.756904464843e-03       2.654381354247e+04 
       5.864932437163e-03       2.681725600079e+04 
       5.973081946959e-03       2.708480110284e+04 
       6.081347330465e-03       2.734650010309e+04 
       6.189723299550e-03       2.760241835731e+04 
       6.298204913243e-03       2.785260104099e+04 
       6.406787551753e-03       2.809711514254e+04 
       6.515466892733e-03       2.833603068129e+04 
       6.624238889588e-03       2.856939752450e+04 
       6.733099751614e-03       2.879728144926e+04 
       6.842045925821e-03       2.901974682418e+04 
       6.951074080257e-03       2.923685215501e+04 
       7.060181088721e-03       2.944867026549e+04 
       7.169364016712e-03       2.965524628992e+04 
       7.278620108523e-03       2.985665581765e+04 
       7.387946775368e-03       3.005294665385e+04 
       7.497341584446e-03       3.024419111369e+04 
       7.606802248869e-03       3.043044672273e+04 
       7.716326618374e-03       3.061178370437e+04 
       7.825912670749e-03       3.078825232728e+04 
       7.935558503913e-03       3.095991811876e+04 
       8.045262328602e-03       3.112684174040e+04 
       8.155022461594e-03       3.128907946287e+04 
       8.264837319447e-03       3.144667745028e+04 
       8.374705412693e-03       3.159971382505e+04 
       8.484625340461e-03       3.174823029250e+04 
       8.594595785482e-03       3.189230946304e+04 
       8.704615509463e-03       3.203198386605e+04 
       8.814683348788e-03       3.216732348005e+04 
       8.924798210516e-03       3.229837645165e+04 
       9.034959068675e-03       3.242520348648e+04 
       9.145164960802e-03       3.254785089686e+04 
       9.255414984729e-03       3.266639477901e+04 
       9.365708295591e-03       3.278085905444e+04 
       9.476044103039e-03       3.289131130607e+04 
       9.586421668641e-03       3.299779748334e+04 
       9.696840303463e-03       3.310039641747e+04 
       9.807299365809e-03       3.319912759721e+04 
       9.917798259121e-03       3.329405484671e+04 
       1.002833643001e-02       3.338522279043e+04 
       1.013891336643e-02       3.347269363959e+04 
       1.024952859596e-02       3.355650601158e+04 
       1.036018168421e-02       3.363669981065e+04 
       1.047087223335e-02       3.371334939873e+04 
       1.058159988071e-02       3.378648308506e+04 
       1.069236429745e-02       3.385615997566e+04 
       1.080316518742e-02       3.392243091477e+04 
       1.091400228596e-02       3.398532077399e+04 
       1.102487535892e-02       3.404489321810e+04 
       1.113578420160e-02       3.410118518958e+04 
       1.124672863791e-02       3.415424574613e+04 
       1.135770851948e-02       3.420411530789e+04 
       1.146872372489e-02       3.425082313317e+04 
       1.157977415889e-02       3.429445277484e+04 
       1.169085975180e-02       3.433500989595e+04 
       1.180198045879e-02       3.437256887638e+04 
       1.191313625937e-02       3.440713699252e+04 
       1.202432715680e-02       3.443877307323e+04 
       1.213555317760e-02       3.446752054606e+04 
       1.224681437110e-02       3.449341502191e+04 
       1.235811080903e-02       3.451650876160e+04 
       1.237436309153e-02       3.451963641977e+04 
       1.246944258512e-02       3.453681958496e+04 
       1.258080981472e-02       3.455441117786e+04 
       1.269221263455e-02       3.456930917590e+04 
       1.280365120235e-02       3.458155715878e+04 
       1.291512569667e-02       3.459118679728e+04 
       1.302663631659e-02       3.459825168036e+04 
       1.313818328155e-02       3.460277007253e+04 
       1.324976683118e-02       3.460479187667e+04 
       1.336138722513e-02       3.460434761252e+04 
       1.347304474295e-02       3.460147689184e+04 
       1.358473968398e-02       3.459622431054e+04 
       1.369647236726e-02       3.458860621265e+04 
       1.380824313151e-02       3.457867575717e+04 
       1.392005233503e-02       3.456644927362e+04 
       1.403190035574e-02       3.455199374304e+04 
       1.414378759114e-02       3.453531552842e+04 
       1.425571445833e-02       3.451646830052e+04 
       1.436768139409e-02       3.449546430267e+04 
       1.447968885487e-02       3.447234288868e+04 
       1.459173731692e-02       3.444715317736e+04 
       1.470382727637e-02       3.441990951418e+04 
       1.481595924932e-02       3.439066327511e+04 
       1.492813377198e-02       3.435941558185e+04 
       1.504035140080e-02       3.432624883345e+04 
       1.515261271265e-02       3.429113076019e+04 
       1.526491830498e-02       3.425415520464e+04 
       1.537726879602e-02       3.421531624686e+04 
       1.548966482496e-02       3.417465924335e+04 
