# Matter power spectrum P(k) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.017768204720e-06       7.367426636807e+01 
       2.013117065551e-05       1.597980883206e+02 
       3.127368623152e-05       2.443490116900e+02 
       4.246761821429e-05       3.281783453996e+02 
       5.373554514272e-05       4.117467086072e+02 
       6.510047082172e-05       4.953839088375e+02 
       7.658597794245e-05       5.793611231153e+02 
       8.821638686582e-05       6.639198820612e+02 
       1.000169211334e-04       7.492864451032e+02 
       1.120138812866e-04       8.356800450467e+02 
       1.242348285901e-04       9.233182465103e+02 
       1.367087802636e-04       1.012420778235e+03 
       1.494664178164e-04       1.103212543865e+03 
       1.625403100413e-04       1.195926153548e+03 
       1.759651521417e-04       1.290804181185e+03 
       1.897780223194e-04       1.388101305459e+03 
       2.040186569110e-04       1.488086332867e+03 
       2.187297447984e-04       1.591044235652e+03 
       2.339572412864e-04       1.697278159088e+03 
       2.497507008914e-04       1.807111438106e+03 
       2.661636274439e-04       1.920889609705e+03 
       2.832538385149e-04       2.038982402378e+03 
       3.010838393218e-04       2.161785651736e+03 
       3.197211988802e-04       2.289723099361e+03 
       3.392389181229e-04       2.423247982980e+03 
       3.597157759348e-04       2.562844310951e+03 
       3.812366344790e-04       2.709027694544e+03 
       4.038926798210e-04       2.862345548881e+03 
       4.277815677867e-04       3.023376461999e+03 
       4.530074384697e-04       3.192728487747e+03 
       4.796807563165e-04       3.371036082151e+03 
       5.079179270207e-04       3.558955357380e+03 
       5.378406386927e-04       3.757157405940e+03 
       5.695748744280e-04       3.966319299781e+03 
       6.032495483134e-04       4.187112660176e+03 
       6.389947290495e-04       4.420189543849e+03 
       6.769394364803e-04       4.666165859351e+03 
       7.172090273991e-04       4.925602374370e+03 
       7.599222275715e-04       5.198984103660e+03 
       8.051879143593e-04       5.486698841554e+03 
       8.531018034307e-04       5.789016036075e+03 
       9.037432361260e-04       6.106067506847e+03 
       9.571722920002e-04       6.437831650854e+03 
       1.013427455223e-03       6.784122583713e+03 
       1.072524038191e-03       7.144585523691e+03 
       1.134453510456e-03       7.518699016605e+03 
       1.199183801970e-03       7.905784770715e+03 
       1.237436309153e-03       8.132646349774e+03 
       1.266660558409e-03       8.305023308824e+03 
       1.336809238052e-03       8.715475251484e+03 
       1.409537868692e-03       9.136106234911e+03 
       1.484740239600e-03       9.565813273907e+03 
       1.562299291522e-03       1.000345165979e+04 
       1.642090484503e-03       1.044786014729e+04 
       1.723984961446e-03       1.089788408943e+04 
       1.807852375162e-03       1.135239503662e+04 
       1.893563298875e-03       1.181030689190e+04 
       1.980991187410e-03       1.227058837060e+04 
       2.070013894393e-03       1.273227087003e+04 
       2.160514777863e-03       1.319445402165e+04 
       2.252383443363e-03       1.365630796553e+04 
       2.345516181282e-03       1.411707393196e+04 
       2.439816156371e-03       1.457606255259e+04 
       2.535193403933e-03       1.503265129386e+04 
       2.631564681181e-03       1.548628150513e+04 
       2.728853215055e-03       1.593645419963e+04 
       2.826988380429e-03       1.638272550932e+04 
       2.925905335651e-03       1.682470406392e+04 
       3.025544636276e-03       1.726204350166e+04 
       3.125851842553e-03       1.769444306486e+04 
       3.226777131995e-03       1.812163951837e+04 
       3.328274924875e-03       1.854340546645e+04 
       3.430303527867e-03       1.895954720221e+04 
       3.532824798954e-03       1.936989760277e+04 
       3.635803835260e-03       1.977431844902e+04 
       3.739208684334e-03       2.017269169779e+04 
       3.843010078631e-03       2.056492336999e+04 
       3.947181192420e-03       2.095093818740e+04 
       4.051697420008e-03       2.133067388928e+04 
       4.156536173955e-03       2.170408384209e+04 
       4.261676701857e-03       2.207114227981e+04 
       4.367099920266e-03       2.243182318393e+04 
       4.472788264292e-03       2.278611823024e+04 
       4.578725551528e-03       2.313402581998e+04 
       4.684896858992e-03       2.347555192410e+04 
       4.791288411857e-03       2.381071398514e+04 
       4.897887482858e-03       2.413953521751e+04 
       5.004682301321e-03       2.446203831607e+04 
       5.111661970888e-03       2.477825945229e+04 
       5.218816395059e-03       2.508823375988e+04 
       5.326136209784e-03       2.539199980446e+04 
       5.433612722403e-03       2.568960876111e+04 
       5.541237856288e-03       2.598110517812e+04 
       5.649004100628e-03       2.626653631742e+04 
       5.756904464843e-03       2.654595669132e+04 
       5.864932437163e-03       2.681942154324e+04 
       5.973081946959e-03       2.708698617449e+04 
       6.081347330465e-03       2.734870303720e+04 
       6.189723299550e-03       2.760463917492e+04 
       6.298204913243e-03       2.785484114632e+04 
       6.406787551753e-03       2.809937640090e+04 
       6.515466892733e-03       2.833831432538e+04 
       6.624238889588e-03       2.857170340126e+04 
       6.733099751614e-03       2.879960794271e+04 
       6.842045925821e-03       2.902209145908e+04 
       6.951074080257e-03       2.923921257397e+04 
       7.060181088721e-03       2.945104511240e+04 
       7.169364016712e-03       2.965763559050e+04 
       7.278620108523e-03       2.985906070838e+04 
       7.387946775368e-03       3.005536860586e+04 
       7.497341584446e-03       3.024663104102e+04 
       7.606802248869e-03       3.043290438943e+04 
       7.716326618374e-03       3.061425769752e+04 
       7.825912670749e-03       3.079074058021e+04 
       7.935558503913e-03       3.096241871982e+04 
       8.045262328602e-03       3.112935363433e+04 
       8.155022461594e-03       3.129160272288e+04 
       8.264837319447e-03       3.144921301200e+04 
       8.374705412693e-03       3.160226283491e+04 
       8.484625340461e-03       3.175079338471e+04 
       8.594595785482e-03       3.189488631720e+04 
       8.704615509463e-03       3.203457322885e+04 
       8.814683348788e-03       3.216992363095e+04 
       8.924798210516e-03       3.230098586435e+04 
       9.034959068675e-03       3.242782137270e+04 
       9.145164960802e-03       3.255047737850e+04 
       9.255414984729e-03       3.266903062963e+04 
       9.365708295591e-03       3.278350514335e+04 
       9.476044103039e-03       3.289396803259e+04 
       9.586421668641e-03       3.300046445644e+04 
       9.696840303463e-03       3.310307252912e+04 
       9.807299365809e-03       3.320181142552e+04 
       9.917798259121e-03       3.329674519625e+04 
       1.002833643001e-02       3.338791909692e+04 
       1.013891336643e-02       3.347539606159e+04 
       1.024952859596e-02       3.355921517612e+04 
       1.036018168421e-02       3.363941635354e+04 
       1.047087223335e-02       3.371607352810e+04 
       1.058159988071e-02       3.378921436512e+04 
       1.069236429745e-02       3.385889743284e+04 
       1.080316518742e-02       3.392517339202e+04 
       1.091400228596e-02       3.398806735417e+04 
       1.102487535892e-02       3.404764351842e+04 
       1.113578420160e-02       3.410393938523e+04 
       1.124672863791e-02       3.415700433321e+04 
       1.135770851948e-02       3.420687872640e+04 
       1.146872372489e-02       3.425359143810e+04 
       1.157977415889e-02       3.429722551328e+04 
       1.169085975180e-02       3.433778622423e+04 
       1.180198045879e-02       3.437534786841e+04 
       1.191313625937e-02       3.440991796266e+04 
       1.202432715680e-02       3.444155577762e+04 
       1.213555317760e-02       3.447030515997e+04 
       1.224681437110e-02       3.449620192166e+04 
       1.235811080903e-02       3.451929822578e+04 
       1.237436309153e-02       3.452242626251e+04 
       1.246944258512e-02       3.453961155681e+04 
       1.258080981472e-02       3.455720520706e+04 
       1.269221263455e-02       3.457210454703e+04 
       1.280365120235e-02       3.458435314411e+04 
       1.291512569667e-02       3.459398290080e+04 
       1.302663631659e-02       3.460104776146e+04 
       1.313818328155e-02       3.460556629068e+04 
       1.324976683118e-02       3.460758850212e+04 
       1.336138722513e-02       3.460714479293e+04 
       1.347304474295e-02       3.460427449411e+04 
       1.358473968398e-02       3.459902190732e+04 
       1.369647236726e-02       3.459140320917e+04 
       1.380824313151e-02       3.458147159672e+04 
       1.392005233503e-02       3.456924360906e+04 
       1.403190035574e-02       3.455478650520e+04 
       1.414378759114e-02       3.453810685141e+04 
       1.425571445833e-02       3.451925836253e+04 
       1.436768139409e-02       3.449825315058e+04 
       1.447968885487e-02       3.447513034170e+04 
       1.459173731692e-02       3.444993884624e+04 
       1.470382727637e-02       3.442269291779e+04 
       1.481595924932e-02       3.439344400002e+04 
       1.492813377198e-02       3.436219339496e+04 
       1.504035140080e-02       3.432902371126e+04 
       1.515261271265e-02       3.429390280296e+04 
       1.526491830498e-02       3.425692451442e+04 
       1.537726879602e-02       3.421808279763e+04 
       1.548966482496e-02       3.417742283314e+04 
       1.560210705222e-02       3.413496139969e+04 
       1.571459615965e-02       3.409076139462e+04 
       1.582713285081e-02       3.404479617403e+04 
       1.593971785121e-02       3.399713020340e+04 
       1.605235190863e-02       3.394781462303e+04 
       1.616503579341e-02       3.389684211861e+04 
       1.627777029876e-02       3.384424681653e+04 
