# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.017768204720e-06      -1.300920408927e-03      -9.762104659618e-04      -9.762104900665e-04      -1.300905321628e-03      -1.301216742441e-03      -9.763201647943e-04       4.321975061405e-01       4.320626415984e-01 
       2.013117065551e-05      -6.469427865197e-03      -4.864977012465e-03      -4.864977610922e-03      -6.469053774809e-03      -6.476774630008e-03      -4.865519658828e-03       4.321939593902e-01       4.320595105930e-01 
       3.127368623152e-05      -1.555428934746e-02      -1.174075682287e-02      -1.174076030597e-02      -1.555211667876e-02      -1.559695382493e-02      -1.174204920534e-02       4.321874886176e-01       4.320537726155e-01 
       4.246761821429e-05      -2.852656193398e-02      -2.164944925980e-02      -2.164946109119e-02      -2.851920434381e-02      -2.867102565538e-02      -2.165178684942e-02       4.321781723814e-01       4.320455072748e-01 
       5.373554514272e-05      -4.534799046178e-02      -3.466133713548e-02      -3.466136742324e-02      -4.532923111431e-02      -4.571627198651e-02      -3.466498455203e-02       4.321659650567e-01       4.320346707770e-01 
       6.510047082172e-05      -6.596890169944e-02      -5.087202074410e-02      -5.087208588068e-02      -6.592876020872e-02      -6.675682708899e-02      -5.087720135313e-02       4.321507919866e-01       4.320211910118e-01 
       7.658597794245e-05      -9.032537946240e-02      -7.040373481952e-02      -7.040385932985e-02      -9.024911191286e-02      -9.182211427222e-02      -7.041061914844e-02       4.321325626794e-01       4.320049806936e-01 
       8.821638686582e-05      -1.183356571937e-01      -9.340707244222e-02      -9.340729110429e-02      -1.182026733206e-01      -1.209447963470e-01      -9.341576507777e-02       4.321111645061e-01       4.319859309052e-01 
       1.000169211334e-04      -1.498956549812e-01      -1.200631526245e-01      -1.200635129306e-01      -1.496783401479e-01      -1.541581393689e-01      -1.200736772195e-01       4.320864659678e-01       4.319639142086e-01 
       1.120138812866e-04      -1.848735820649e-01      -1.505862730008e-01      -1.505868380595e-01      -1.845360059176e-01      -1.914926544446e-01      -1.505985550013e-01       4.320583107053e-01       4.319387784968e-01 
