# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       6.701734803633e-26       4.109097062610e-09       2.433372753812e+22       1.330060624630e+04       1.330060624630e-10       1.330060624630e+18       2.372633902000e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.266298447096e+44       4.220994823654e+43       8.111013765352e-08       1.903443976270e+44       5.921302958993e+44       8.267672545516e-20       2.000000000000e+14 
       9.930486593843e+13       6.795887475889e-26       4.138200893067e-09       2.399659931435e+22       1.330060624630e+04       1.339371049002e-10       1.320814920188e+18       2.389242339314e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.231453995243e+44       4.104846650811e+43       8.111013765352e-08       1.851067333040e+44       5.758367786535e+44       1.153441803536e-07       1.433565615564e+02 
       9.861456399050e+13       6.891362899038e-26       4.167304723524e-09       2.366414178640e+22       1.330060624630e+04       1.348746646345e-10       1.311633485788e+18       2.405967035689e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.197568350398e+44       3.991894501326e+43       8.111013765352e-08       1.800131926217e+44       5.599916064867e+44       2.306883607071e-07       7.167828077820e+01 
       9.792906056653e+13       6.988179656406e-26       4.196408553980e-09       2.333629024475e+22       1.330060624630e+04       1.358187872869e-10       1.302515874665e+18       2.422808804939e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.164615129282e+44       3.882050430939e+43       8.111013765352e-08       1.750598097619e+44       5.445824423872e+44       3.460325410606e-07       4.778552051881e+01 
       9.724832231036e+13       7.086356592399e-26       4.225512384437e-09       2.301298087642e+22       1.330060624630e+04       1.367695187979e-10       1.293461643163e+18       2.439768466573e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.132568674599e+44       3.775228915331e+43       8.111013765352e-08       1.702427280332e+44       5.295972888184e+44       4.613767214141e-07       3.583914038911e+01 
       9.657231609767e+13       7.185912816166e-26       4.254616214894e-09       2.269415075250e+22       1.330060624630e+04       1.377269054295e-10       1.284470350708e+18       2.456846845839e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.101404035060e+44       3.671346783535e+43       8.111013765352e-08       1.655581968676e+44       5.150244783772e+44       5.767209017676e-07       2.867131231128e+01 
       9.590100903443e+13       7.286867705320e-26       4.285539034754e-09       2.237973781593e+22       1.330060624630e+04       1.386909937675e-10       1.275541559789e+18       2.474044773760e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.071096945955e+44       3.570323153183e+43       8.111013765352e-08       1.610025689010e+44       5.008526647096e+44       6.920650821211e-07       2.389276025940e+01 
       9.523436845525e+13       7.389240909712e-26       4.314642865211e-09       2.206968086939e+22       1.330060624630e+04       1.396618307239e-10       1.266674835938e+18       2.491363087176e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.041623810259e+44       3.472079367528e+43       8.111013765352e-08       1.565722971329e+44       4.870708136769e+44       8.074092624746e-07       2.047950879377e+01 
       9.457236192179e+13       7.493052355252e-26       4.345565685071e-09       2.176391956345e+22       1.330060624630e+04       1.406394635390e-10       1.257869747704e+18       2.508802628786e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.012961680262e+44       3.376538934206e+43       8.111013765352e-08       1.522639321645e+44       4.736681947643e+44       9.227534428280e-07       1.791957019455e+01 
       9.391495722125e+13       7.598322247791e-26       4.376488504931e-09       2.146239438474e+22       1.330060624630e+04       1.416239397837e-10       1.249125866637e+18       2.526364247188e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       9.850882397013e+43       3.283627465671e+43       8.111013765352e-08       1.480741195137e+44       4.606343727261e+44       1.038097623181e-06       1.592850683960e+01 
