# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.949804984859e-10       4.469969614048e-15       3.054865152686e-13       0.000000000000e+00       6.652975221279e-09       6.849934298186e-10      -1.814713421473e-12 
    3       1.730603955381e-10       5.126576824335e-15       3.638550689504e-13       0.000000000000e+00       4.127037315436e-09       4.719774119821e-10      -1.280878048643e-12 
    4       1.564240984704e-10       3.879418145854e-15       3.434991737996e-13       0.000000000000e+00       2.877108413487e-09       3.504812595692e-10      -7.377737773752e-13 
    5       1.447007046787e-10       2.266691037135e-15       2.901626207475e-13       0.000000000000e+00       2.148729222018e-09       2.729403634810e-10      -3.184838909918e-13 
    6       1.366334395494e-10       1.178108210936e-15       2.306072415060e-13       0.000000000000e+00       1.677415692007e-09       2.196491495355e-10      -4.693474886307e-14 
    7       1.310983123872e-10       6.846748835773e-16       1.794307669428e-13       0.000000000000e+00       1.351509832516e-09       1.811021795640e-10       9.172302039839e-14 
    8       1.274137206313e-10       5.031911715316e-16       1.422661730033e-13       0.000000000000e+00       1.115443230065e-09       1.522073995083e-10       1.308077019296e-13 
    9       1.250553852158e-10       4.068164358507e-16       1.195683944798e-13       0.000000000000e+00       9.382428718639e-10       1.299923524806e-10       1.092516319645e-13 
   10       1.236696475849e-10       3.274144812039e-16       1.090899569375e-13       0.000000000000e+00       8.012670253491e-10       1.125109930347e-10       6.238814456227e-14 
   11       1.230429533510e-10       2.747895439287e-16       1.074263877585e-13       0.000000000000e+00       6.836026511175e-10       9.887554578560e-11       1.666631459206e-14 
   12       1.229079674702e-10       2.560306928633e-16       1.112643972504e-13       0.000000000000e+00       5.969460225025e-10       8.712510783543e-11      -1.480887398954e-14 
   13       1.232091186699e-10       2.610491245695e-16       1.179745047799e-13       0.000000000000e+00       5.257778718154e-10       7.730191696481e-11      -2.786714293476e-14 
   14       1.238936237705e-10       2.809111312761e-16       1.257942547847e-13       0.000000000000e+00       4.665396003050e-10       6.898070705430e-11      -2.613681180362e-14 
   15       1.248642245424e-10       3.164334166930e-16       1.339821299620e-13       0.000000000000e+00       4.166667083409e-10       6.199221003803e-11      -1.636326501853e-14 
   16       1.260763867172e-10       3.718041128727e-16       1.423768065884e-13       0.000000000000e+00       3.742588849853e-10       5.599604173398e-11      -5.545372569215e-15 
   17       1.274673238097e-10       4.481799393025e-16       1.511067290270e-13       0.000000000000e+00       3.378797370665e-10       5.078005975653e-11       1.551991069882e-15 
   18       1.290165227372e-10       5.437412773195e-16       1.605123328333e-13       0.000000000000e+00       3.063103285260e-10       4.623659541822e-11       3.141100243307e-15 
   19       1.307399488034e-10       6.579627948142e-16       1.706103366411e-13       0.000000000000e+00       2.790418743551e-10       4.231028791056e-11       2.089071177072e-16 
   20       1.325927028470e-10       7.904222671618e-16       1.811969088483e-13       0.000000000000e+00       2.550328551084e-10       3.885116918142e-11      -4.930625631937e-15 
   21       1.345603137100e-10       9.412104817796e-16       1.919408155861e-13       0.000000000000e+00       2.339058928936e-10       3.578257630732e-11      -1.010179058571e-14 
   22       1.366062551672e-10       1.110464861835e-15       2.023908595980e-13       0.000000000000e+00       2.151527198580e-10       3.300837023955e-11      -1.314178519926e-14 
   23       1.387489703413e-10       1.298854202760e-15       2.121256559920e-13       0.000000000000e+00       1.985147506328e-10       3.052610253531e-11      -1.367811602097e-14 
   24       1.409969505580e-10       1.507393841141e-15       2.207583633514e-13       0.000000000000e+00       1.836074045036e-10       2.832940997025e-11      -1.214178684061e-14 
   25       1.433352204555e-10       1.738144580363e-15       2.282785504336e-13       0.000000000000e+00       1.702539698557e-10       2.638098480634e-11      -9.511755729654e-15 
   26       1.457263370644e-10       1.993464368033e-15       2.348167917233e-13       0.000000000000e+00       1.582112207814e-10       2.461439154552e-11      -7.047864821815e-15 
   27       1.481716277855e-10       2.274715441893e-15       2.404349761991e-13       0.000000000000e+00       1.473344326648e-10       2.300191553297e-11      -5.517368240759e-15 
   28       1.506731082085e-10       2.582925657237e-15       2.451748476859e-13       0.000000000000e+00       1.374361519193e-10       2.151796868498e-11      -5.425124381112e-15 
   29       1.532365734637e-10       2.919214196931e-15       2.489982651302e-13       0.000000000000e+00       1.284649056537e-10       2.016056761135e-11      -6.442114059651e-15 
   30       1.558547343487e-10       3.284681731165e-15       2.518407929218e-13       0.000000000000e+00       1.203230258864e-10       1.892349162203e-11      -7.830923808596e-15 
   31       1.585094124728e-10       3.680398424517e-15       2.536205062760e-13       0.000000000000e+00       1.128430051781e-10       1.779022706641e-11      -8.803555789615e-15 
   32       1.612067690394e-10       4.107530513871e-15       2.541914290736e-13       0.000000000000e+00       1.059856495089e-10       1.675539327196e-11      -9.180228812529e-15 
   33       1.639525292857e-10       4.567254325932e-15       2.533694590531e-13       0.000000000000e+00       9.970219772161e-11       1.580922136208e-11      -8.973568024794e-15 
   34       1.667451055264e-10       5.060664079207e-15       2.509847001026e-13       0.000000000000e+00       9.390436521987e-11       1.493575160797e-11      -8.258769675035e-15 
