# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.949808849802e-10       4.470144970190e-15       3.054865118473e-13       1.753561318440e-19       6.652975221279e-09       6.849934298186e-10      -1.814713421473e-12 
    3       1.730611671838e-10       5.126927629155e-15       3.638550536998e-13       3.508047238878e-19       4.127037315436e-09       4.719774119821e-10      -1.280878048643e-12 
    4       1.564253815868e-10       3.880003024006e-15       3.434991299656e-13       5.848776817056e-19       2.877108413487e-09       3.504812595692e-10      -7.377737773752e-13 
    5       1.447026238621e-10       2.267568730640e-15       2.901625208520e-13       8.776918976792e-19       2.148729222018e-09       2.729403634810e-10      -3.184838909918e-13 
    6       1.366361173001e-10       1.179337603491e-15       2.306070449923e-13       1.229388186902e-18       1.677415692007e-09       2.196491495355e-10      -4.693474886307e-14 
    7       1.311018687711e-10       6.863150217389e-16       1.794304180200e-13       1.640128045194e-18       1.351509832516e-09       1.811021795640e-10       9.172302039839e-14 
    8       1.274182729828e-10       5.053012823560e-16       1.422655987168e-13       2.110090034762e-18       1.115443230065e-09       1.522073995083e-10       1.308077019296e-13 
    9       1.250610478855e-10       4.094559406798e-16       1.195675030297e-13       2.639465929011e-18       9.382428718639e-10       1.299923524806e-10       1.092516319645e-13 
   10       1.236765317344e-10       3.306430053911e-16       1.090886362567e-13       3.228456755259e-18       8.012670253491e-10       1.125109930347e-10       6.238814456227e-14 
   11       1.230511667964e-10       2.786669224028e-16       1.074245043579e-13       3.877268875613e-18       6.836026511175e-10       9.887554578560e-11       1.666631459206e-14 
   12       1.229176145757e-10       2.606169715369e-16       1.112617953308e-13       4.586110242191e-18       5.969460225025e-10       8.712510783543e-11      -1.480887398954e-14 
   13       1.232203002882e-10       2.664045576872e-16       1.179710056049e-13       5.355186953233e-18       5.257778718154e-10       7.730191696481e-11      -2.786714293476e-14 
   14       1.239064372306e-10       2.870961748875e-16       1.257896563033e-13       6.184700221941e-18       4.665396003050e-10       6.898070705430e-11      -2.613681180362e-14 
   15       1.248787636800e-10       3.235087185001e-16       1.339762066668e-13       7.074843850757e-18       4.166667083409e-10       6.199221003803e-11      -1.636326501853e-14 
   16       1.260927419438e-10       3.798304987556e-16       1.423693095904e-13       8.025802280925e-18       3.742588849853e-10       5.599604173398e-11      -5.545372569215e-15 
   17       1.274855822161e-10       4.572183968588e-16       1.510973863288e-13       9.037749261739e-18       3.378797370665e-10       5.078005975653e-11       1.551991069882e-15 
   18       1.290367682271e-10       5.538529366277e-16       1.605008497881e-13       1.011084686090e-17       3.063103285260e-10       4.623659541822e-11       3.141100243307e-15 
   19       1.307622622400e-10       6.692089075943e-16       1.705963965315e-13       1.124524687629e-17       2.790418743551e-10       4.231028791056e-11       2.089071177072e-16 
   20       1.326171622378e-10       8.028641824290e-16       1.811801736960e-13       1.244108812040e-17       2.550328551084e-10       3.885116918142e-11      -4.930625631937e-15 
   21       1.345869943698e-10       9.549096218875e-16       1.919209269731e-13       1.369850182521e-17       2.339058928936e-10       3.578257630732e-11      -1.010179058571e-14 
   22       1.366352299223e-10       1.125482694750e-15       2.023674397353e-13       1.501760851751e-17       2.151527198580e-10       3.300837023955e-11      -1.314178519926e-14 
   23       1.387803096893e-10       1.315252215411e-15       2.120983087753e-13       1.639852464751e-17       1.985147506328e-10       3.052610253531e-11      -1.367811602097e-14 
   24       1.410307228695e-10       1.525233508901e-15       2.207266756708e-13       1.784135942793e-17       1.836074045036e-10       2.832940997025e-11      -1.214178684061e-14 
   25       1.433714921029e-10       1.757487338061e-15       2.282420934711e-13       1.934622269274e-17       1.702539698557e-10       2.638098480634e-11      -9.511755729654e-15 
   26       1.457651726031e-10       2.014371576838e-15       2.347751225113e-13       2.091322118304e-17       1.582112207814e-10       2.461439154552e-11      -7.047864821815e-15 
   27       1.482130900592e-10       2.297248357065e-15       2.403876392202e-13       2.254246534907e-17       1.473344326648e-10       2.300191553297e-11      -5.517368240759e-15 
   28       1.507172584881e-10       2.607145392155e-15       2.451213767267e-13       2.423406671124e-17       1.374361519193e-10       2.151796868498e-11      -5.425124381112e-15 
   29       1.532834714435e-10       2.945181687846e-15       2.489381852701e-13       2.598814581450e-17       1.284649056537e-10       2.016056761135e-11      -6.442114059651e-15 
   30       1.559044382601e-10       3.312457697441e-15       2.517736227309e-13       2.780482663338e-17       1.203230258864e-10       1.892349162203e-11      -7.830923808596e-15 
   31       1.585619791895e-10       3.710043325957e-15       2.535457602573e-13       2.968423588475e-17       1.128430051781e-10       1.779022706641e-11      -8.803555789615e-15 
   32       1.612622539674e-10       4.139104506597e-15       2.541086204926e-13       3.162650834986e-17       1.059856495089e-10       1.675539327196e-11      -9.180228812529e-15 
   33       1.640109863910e-10       4.600817215753e-15       2.532781028005e-13       3.363178443136e-17       9.970219772161e-11       1.580922136208e-11      -8.973568024794e-15 
   34       1.668065873715e-10       5.096275271516e-15       2.508843158225e-13       3.570020801732e-17       9.390436521987e-11       1.493575160797e-11      -8.258769675035e-15 
   35       1.696526596363e-10       5.626294785838e-15       2.469191570131e-13       3.783192188956e-17       8.856192604479e-11       1.412962970135e-11      -7.305466858596e-15 
   36       1.725480234801e-10       6.191528980952e-15       2.414420025527e-13       4.002707147783e-17       8.363133461836e-11       1.338395037403e-11      -6.500662426003e-15 
   37       1.754860480038e-10       6.792613342102e-15       2.345172907937e-13       4.228580111933e-17       7.904765769997e-11       1.268867822264e-11      -6.209091191970e-15 
   38       1.784670541859e-10       7.430516598468e-15       2.261267783618e-13       4.460823563886e-17       7.479862398517e-11       1.204247964974e-11      -6.392497616381e-15 
   39       1.814886762334e-10       8.106300742459e-15       2.162292997984e-13       4.699449288516e-17       7.087039383094e-11       1.144410350617e-11      -6.864344148092e-15 
   40       1.845416735724e-10       8.821027186392e-15       2.047840514356e-13       4.944468861230e-17       6.722505097843e-11       1.088881908218e-11      -7.387385566817e-15 
   41       1.876145135765e-10       9.575683099585e-15       1.917470759925e-13       5.195892826199e-17       6.381371251863e-11       1.037007235749e-11      -7.735268236305e-15 
   42       1.907105431231e-10       1.037093142908e-14       1.770597384942e-13       5.453727919891e-17       6.062603158873e-11       9.885844115201e-12      -7.909589928868e-15 
   43       1.938352662710e-10       1.120727960752e-14       1.606562198818e-13       5.717978936308e-17       5.765328059565e-11       9.433842842592e-12      -7.987797447660e-15 
   44       1.969912559788e-10       1.208514134029e-14       1.424661540476e-13       5.988649406861e-17       5.487350350068e-11       9.009548907898e-12      -8.065357714975e-15 
   45       2.001793579003e-10       1.300487156271e-14       1.224226128249e-13       6.265741048449e-17       5.225928313453e-11       8.607754413844e-12      -8.232657168137e-15 
   46       2.034034765088e-10       1.396689560877e-14       1.004898383360e-13       6.549252055089e-17       4.980628891001e-11       8.228139599911e-12      -8.494914121652e-15 
   47       2.066666816405e-10       1.497161011590e-14       7.664312970923e-14       6.839178191497e-17       4.751147596642e-11       7.871069140651e-12      -8.830164307495e-15 
   48       2.099695896246e-10       1.601934374887e-14       5.086126831615e-14       7.135513152390e-17       4.536447875842e-11       7.535951437208e-12      -9.211062687658e-15 
   49       2.133101344415e-10       1.711035448018e-14       2.312660543750e-14       7.438248473054e-17       4.334706791660e-11       7.221164182480e-12      -9.604572988632e-15 
   50       2.166849220219e-10       1.824487744477e-14      -6.578209086135e-15       7.747373984906e-17       4.143859653462e-11       6.924586937695e-12      -9.978288944393e-15 
   51       2.200942574379e-10       1.942329012773e-14      -3.828129111814e-14       8.062879535458e-17       3.963534192600e-11       6.645541975470e-12      -1.032214110308e-14 
   52       2.235380867176e-10       2.064598731373e-14      -7.201330969557e-14       8.384753580627e-17       3.793547511870e-11       6.383251591481e-12      -1.063204542895e-14 
   53       2.270143822865e-10       2.191333409973e-14      -1.078044592373e-13       8.712982618274e-17       3.633327520589e-11       6.136232356091e-12      -1.090378814141e-14 
   54       2.305189886255e-10       2.322566555525e-14      -1.456845299492e-13       9.047551124416e-17       3.481886806181e-11       5.902249244756e-12      -1.113302732991e-14 
   55       2.340475885809e-10       2.458316458517e-14      -1.856759698926e-13       9.388443506313e-17       3.338120797820e-11       5.678961539915e-12      -1.131580227199e-14 
   56       2.376025278939e-10       2.598546076581e-14      -2.277708915884e-13       9.735650676025e-17       3.201848853676e-11       5.466153518473e-12      -1.145020585317e-14 
   57       2.411874156882e-10       2.743193125602e-14      -2.719484766802e-13       1.008916499814e-16       3.072986036131e-11       5.263977570774e-12      -1.153513044064e-14 
   58       2.448050821977e-10       2.892180888880e-14      -3.181812855805e-13       1.044897843046e-16       2.951228279220e-11       5.072292474698e-12      -1.156981751051e-14 
   59       2.484575070469e-10       3.045417708621e-14      -3.664350548240e-13       1.081508253878e-16       2.836038894973e-11       4.890644478199e-12      -1.155387904328e-14 
   60       2.521457475320e-10       3.202796477421e-14      -4.166684944211e-13       1.118746851169e-16       2.726635079766e-11       4.718248381846e-12      -1.148731891939e-14 
