#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.010636880316e-01       1.707872485471e-06      -1.167742025286e+00       2.044351334355e-07       4.757455241934e-13       1.189363810484e-12       1.556964604794e-21       2.378727620967e-13      -8.758065189642e-01       2.044351334355e-07       5.834523918113e-01       7.080645175680e-01      -1.167742025286e+00       2.044351289581e-07       1.911147599618e-08      -8.758065189642e-01       2.044351429893e-07      -1.167742025286e+00       2.044351289581e-07       1.911063370711e-08       3.333333333333e-01 
       7.013394272514e-01       1.708544974929e-06      -1.167741959064e+00       2.045154389408e-07       4.763072739219e-13       1.190768184805e-12       1.560030859801e-21       2.381536369610e-13      -8.758064692979e-01       2.045154389408e-07       5.834547091059e-01       7.080645341422e-01      -1.167741959064e+00       2.045154344581e-07       1.912651304392e-08      -8.758064692979e-01       2.045154485058e-07      -1.167741959064e+00       2.045154344581e-07       1.912482711590e-08       3.333333333333e-01 
       7.016151664712e-01       1.709217464981e-06      -1.167741901800e+00       2.045957459281e-07       4.768694694558e-13       1.192173673639e-12       1.563101957276e-21       2.384347347279e-13      -8.758064263503e-01       2.045957459281e-07       5.834570225135e-01       7.080645484768e-01      -1.167741901800e+00       2.045957414401e-07       1.914155597417e-08      -8.758064263503e-01       2.045957555043e-07      -1.167741901800e+00       2.045957414401e-07       1.913902577818e-08       3.333333333333e-01 
       7.028054943827e-01       1.712120517957e-06      -1.167742816577e+00       2.049426229965e-07       4.793019449101e-13       1.198254862275e-12       1.576416600849e-21       2.396509724551e-13      -8.758071124329e-01       2.049426229965e-07       5.834667278908e-01       7.080643198639e-01      -1.167742816577e+00       2.049426184856e-07       1.920655721353e-08      -8.758071124329e-01       2.049426326216e-07      -1.167742816577e+00       2.049426184856e-07       1.920037570046e-08       3.333333333333e-01 
       7.039958222942e-01       1.715023582021e-06      -1.167744370575e+00       2.052896116980e-07       4.817429463078e-13       1.204357365770e-12       1.589822727705e-21       2.408714731539e-13      -8.758082779314e-01       2.052896116980e-07       5.834762552734e-01       7.080639314458e-01      -1.167744370575e+00       2.052896071642e-07       1.927166613191e-08      -8.758082779314e-01       2.052896213721e-07      -1.167744370575e+00       2.052896071642e-07       1.926182188981e-08       3.333333333333e-01 
       7.051861502057e-01       1.717926657174e-06      -1.167746168310e+00       2.056366430718e-07       4.841923279834e-13       1.210480819959e-12       1.603320279930e-21       2.420961639917e-13      -8.758096262327e-01       2.056366430718e-07       5.834856931369e-01       7.080634820935e-01      -1.167746168310e+00       2.056366385148e-07       1.933688447147e-08      -8.758096262327e-01       2.056366527950e-07      -1.167746168310e+00       2.056366385149e-07       1.932336596445e-08       3.333333333333e-01 
       7.063764781172e-01       1.720829743416e-06      -1.167748051208e+00       2.059836891601e-07       4.866500389615e-13       1.216625097404e-12       1.616909508670e-21       2.433250194808e-13      -8.758110384057e-01       2.059836891601e-07       5.834950769868e-01       7.080630114509e-01      -1.167748051208e+00       2.059836845800e-07       1.940221284956e-08      -8.758110384057e-01       2.059836989326e-07      -1.167748051208e+00       2.059836845801e-07       1.938500832559e-08       3.333333333333e-01 
       7.094527452053e-01       1.728332490941e-06      -1.167753106495e+00       2.068806226421e-07       4.930403090876e-13       1.232600772719e-12       1.652456973954e-21       2.465201545438e-13      -8.758148298713e-01       2.068806226421e-07       5.835191272709e-01       7.080617478407e-01      -1.167753106495e+00       2.068806180019e-07       1.957155694019e-08      -8.758148298713e-01       2.068806325428e-07      -1.167753106495e+00       2.068806180020e-07       1.954477165680e-08       3.333333333333e-01 
       7.125290122935e-01       1.735835312528e-06      -1.167758561889e+00       2.077776263764e-07       4.994864873199e-13       1.248716218300e-12       1.688627767746e-21       2.497432436599e-13      -8.758189214168e-01       2.077776263764e-07       5.835428601559e-01       7.080603842048e-01      -1.167758561889e+00       2.077776216755e-07       1.974163684905e-08      -8.758189214168e-01       2.077776364063e-07      -1.167758561889e+00       2.077776216757e-07       1.970519209194e-08       3.333333333333e-01 
       7.156052793816e-01       1.743338208176e-06      -1.167764404273e+00       2.086746988499e-07       5.059888171389e-13       1.264972042847e-12       1.725430061757e-21       2.529944085694e-13      -8.758233032046e-01       2.086746988499e-07       5.835662819550e-01       7.080589238224e-01      -1.167764404273e+00       2.086746940879e-07       1.991245264675e-08      -8.758233032046e-01       2.086747090102e-07      -1.167764404273e+00       2.086746940882e-07       1.986626932271e-08       3.333333333333e-01 
