# Matter power spectrum P(k) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.061980080967e-06       1.011571462122e+02 
       1.799630943511e-05       2.193937206422e+02 
       2.795144444371e-05       3.354098492985e+02 
       3.794330216898e-05       4.503296505263e+02 
       4.798795688201e-05       5.647406447174e+02 
       5.810172544538e-05       6.790497208834e+02 
       6.830125434979e-05       7.935816452865e+02 
       7.860360911496e-05       9.086183062332e+02 
       8.902636677084e-05       1.024417765293e+03 
       9.958771214245e-05       1.141225024487e+03 
       1.103065386704e-04       1.259278707606e+03 
       1.212025545063e-04       1.378815651755e+03 
       1.322963946267e-04       1.500074292506e+03 
       1.436097397060e-04       1.623297407700e+03 
       1.551654424775e-04       1.748734345619e+03 
       1.669876622809e-04       1.876643105548e+03 
       1.791020084481e-04       2.007292174401e+03 
       1.915356930940e-04       2.140962337025e+03 
       2.043176937639e-04       2.277948399770e+03 
       2.174789262103e-04       2.418560910508e+03 
       2.310524273322e-04       2.563127852188e+03 
       2.450735479811e-04       2.711996351387e+03 
       2.595801548955e-04       2.865534347682e+03 
       2.746128404513e-04       3.024132246655e+03 
       2.902151381750e-04       3.188204520717e+03 
       3.064337410232e-04       3.358191193168e+03 
       3.233187182630e-04       3.534559203348e+03 
       3.409237253478e-04       3.717803532242e+03 
       3.593061994556e-04       3.908448041770e+03 
       3.785275313216e-04       4.107045891393e+03 
       3.986532016651e-04       4.314179460668e+03 
       4.197528679206e-04       4.530459528080e+03 
       4.419003842333e-04       4.756523633770e+03 
       4.651737349255e-04       4.993033379219e+03 
       4.896548591380e-04       5.240670477973e+03 
       5.154293424640e-04       5.500131266810e+03 
       5.425859505803e-04       5.772119590754e+03 
       5.712159807542e-04       6.057337749780e+03 
       6.014124102975e-04       6.356475490074e+03 
       6.332688272377e-04       6.670196791648e+03 
       6.668781382122e-04       6.999124798813e+03 
       7.023310621381e-04       7.343824768045e+03 
       7.397144353408e-04       7.704785896327e+03 
       7.791093736539e-04       8.082401967383e+03 
       8.205893578336e-04       8.476952462437e+03 
       8.642183279931e-04       8.888584515683e+03 
       9.100488876135e-04       9.317297510556e+03 
       9.581207249038e-04       9.762930850367e+03 
       1.008459356273e-03       1.022515644449e+04 
       1.061075282125e-03       1.070347695750e+04 
       1.072292226224e-03       1.080481309301e+04 
       1.115963619604e-03       1.119722985761e+04 
       1.173104242760e-03       1.170559779148e+04 
       1.232462422144e-03       1.222762413125e+04 
       1.293989918186e-03       1.276223335181e+04 
       1.357626450844e-03       1.330825453205e+04 
       1.423301445879e-03       1.386444632010e+04 
       1.490935947676e-03       1.442952161676e+04 
       1.560444589730e-03       1.500217173001e+04 
       1.631737524957e-03       1.558108660117e+04 
       1.704722235902e-03       1.616497431799e+04 
       1.779305166283e-03       1.675257424061e+04 
       1.855393137210e-03       1.734267155898e+04 
       1.932894531257e-03       1.793410550867e+04 
       2.011720244074e-03       1.852578053025e+04 
       2.091784415607e-03       1.911667213204e+04 
       2.173004961316e-03       1.970583312473e+04 
       2.255303928519e-03       2.029239653919e+04 
       2.338607704804e-03       2.087557444582e+04 
       2.422847105149e-03       2.145465617846e+04 
       2.507957362592e-03       2.202900127647e+04 
       2.593878044691e-03       2.259803498187e+04 
       2.680552914988e-03       2.316123939836e+04 
       2.767929755618e-03       2.371814998745e+04 
       2.855960164255e-03       2.426835412113e+04 
       2.944599335947e-03       2.481148657012e+04 
       3.033805838064e-03       2.534723116191e+04 
       3.123541384599e-03       2.587531746702e+04 
       3.213770614470e-03       2.639552066209e+04 
       3.304460877095e-03       2.690765262152e+04 
       3.395582027508e-03       2.741155658715e+04 
       3.487106232435e-03       2.790710485189e+04 
       3.579007788121e-03       2.839419011192e+04 
       3.671262950231e-03       2.887271653605e+04 
       3.763849775804e-03       2.934262244321e+04 
       3.856747976971e-03       2.980385249893e+04 
       3.949938785993e-03       3.025637393501e+04 
       4.043404831068e-03       3.070016938944e+04 
       4.137130022261e-03       3.113524416310e+04 
       4.231099446911e-03       3.156161734990e+04 
       4.325299273839e-03       3.197931640583e+04 
       4.419716665697e-03       3.238837539251e+04 
       4.514339698823e-03       3.278883190729e+04 
       4.609157289984e-03       3.318072706386e+04 
       4.704159129438e-03       3.356411028454e+04 
       4.799335619774e-03       3.393904244878e+04 
       4.894677820024e-03       3.430558261956e+04 
       4.990177394600e-03       3.466381091629e+04 
       5.085826566600e-03       3.501380036784e+04 
       5.181618075130e-03       3.535563649820e+04 
       5.277545136245e-03       3.568940071843e+04 
       5.373601407215e-03       3.601516719090e+04 
       5.469780953795e-03       3.633302560034e+04 
       5.566078220244e-03       3.664305364656e+04 
       5.662488001836e-03       3.694533435153e+04 
       5.759005419646e-03       3.723995602860e+04 
       5.855625897403e-03       3.752701420421e+04 
       5.952345140231e-03       3.780659996703e+04 
       6.049159115110e-03       3.807881485242e+04 
       6.146064032898e-03       3.834374249921e+04 
       6.243056331793e-03       3.860148392548e+04 
       6.340132662092e-03       3.885211739471e+04 
       6.437289872143e-03       3.909573933730e+04 
       6.534524995394e-03       3.933243794095e+04 
       6.631835238435e-03       3.956230359775e+04 
       6.729217969946e-03       3.978542665713e+04 
       6.826670710493e-03       4.000190309387e+04 
       6.924191123085e-03       4.021182066997e+04 
       7.021777004428e-03       4.041527939798e+04 
       7.119426276831e-03       4.061235814676e+04 
       7.217136980705e-03       4.080314291697e+04 
       7.314907267602e-03       4.098772135490e+04 
       7.412735393758e-03       4.116617615830e+04 
       7.510619714095e-03       4.133859839162e+04 
       7.608558676651e-03       4.150506419769e+04 
       7.706550817403e-03       4.166564889799e+04 
       7.804594755442e-03       4.182048900279e+04 
       7.902689188495e-03       4.196961733745e+04 
       8.000832888749e-03       4.211314694577e+04 
       8.099024698957e-03       4.225112485753e+04 
       8.197263528816e-03       4.238365219784e+04 
       8.295548351580e-03       4.251079448604e+04 
       8.393878200914e-03       4.263262568434e+04 
       8.492252167940e-03       4.274924847987e+04 
       8.590669398492e-03       4.286072044727e+04 
       8.689129090551e-03       4.296711284845e+04 
       8.787630491838e-03       4.306851862741e+04 
       8.886172897582e-03       4.316498807648e+04 
       8.984755648411e-03       4.325662252812e+04 
       9.083378128405e-03       4.334347595308e+04 
       9.182039763251e-03       4.342560488691e+04 
       9.280740018539e-03       4.350311471199e+04 
       9.379478398147e-03       4.357604874145e+04 
       9.478254442751e-03       4.364448615345e+04 
       9.577067728413e-03       4.370848987816e+04 
       9.675917865273e-03       4.376813315773e+04 
       9.774804496316e-03       4.382346836639e+04 
       9.873727296229e-03       4.387457994338e+04 
       9.972685970321e-03       4.392150562296e+04 
       1.007168025352e-02       4.396433013501e+04 
       1.017070990945e-02       4.400311696242e+04 
       1.026977472953e-02       4.403790455936e+04 
       1.036887453217e-02       4.406876687634e+04 
       1.046800916202e-02       4.409578629380e+04 
       1.056717848923e-02       4.411900097029e+04 
       1.066638240882e-02       4.413847069992e+04 
       1.072292226224e-02       4.414792791119e+04 
       1.076562084005e-02       4.415427176226e+04 
       1.086489372586e-02       4.416642996911e+04 
       1.096420103233e-02       4.417502768825e+04 
       1.106354274818e-02       4.418011036674e+04 
       1.116291888435e-02       4.418174029740e+04 
       1.126232947356e-02       4.417996841749e+04 
       1.136177456994e-02       4.417484765570e+04 
       1.146125424867e-02       4.416644371795e+04 
       1.156076860566e-02       4.415479858652e+04 
       1.166031775727e-02       4.413995246508e+04 
       1.175990184005e-02       4.412199699129e+04 
       1.185952101049e-02       4.410093741900e+04 
       1.195917544482e-02       4.407685071068e+04 
       1.205886533883e-02       4.404977084129e+04 
       1.215859090771e-02       4.401979250548e+04 
       1.225835238590e-02       4.398690332849e+04 
       1.235815002698e-02       4.395119167155e+04 
       1.245798410360e-02       4.391268222133e+04 
       1.255785490737e-02       4.387144792861e+04 
       1.265776274881e-02       4.382751482354e+04 
       1.275770795736e-02       4.378093612791e+04 
       1.285769088132e-02       4.373178687507e+04 
       1.295771188787e-02       4.368004738176e+04 
       1.305777136308e-02       4.362580521096e+04 
       1.315786971198e-02       4.356909627859e+04 
       1.325800735857e-02       4.350997171377e+04 
