# Matter power spectrum P(k) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.061980080967e-06       1.011193227600e+02 
       1.799630943511e-05       2.193117953008e+02 
       2.795144444371e-05       3.352848921743e+02 
       3.794330216898e-05       4.501624406269e+02 
       4.798795688201e-05       5.645318729670e+02 
       5.810172544538e-05       6.788000620660e+02 
       6.830125434979e-05       7.932917951127e+02 
       7.860360911496e-05       9.082890056460e+02 
       8.902636677084e-05       1.024049819614e+03 
       9.958771214245e-05       1.140819320616e+03 
       1.103065386704e-04       1.258836230919e+03 
       1.212025545063e-04       1.378337503643e+03 
       1.322963946267e-04       1.499561709183e+03 
       1.436097397060e-04       1.622751780737e+03 
       1.551654424775e-04       1.748157244600e+03 
       1.669876622809e-04       1.876036303135e+03 
       1.791020084481e-04       2.006657674136e+03 
       1.915356930940e-04       2.140302404069e+03 
       2.043176937639e-04       2.277265594816e+03 
       2.174789262103e-04       2.417858126961e+03 
       2.310524273322e-04       2.562408356664e+03 
       2.450735479811e-04       2.711263827403e+03 
       2.595801548955e-04       2.864792942213e+03 
       2.746128404513e-04       3.023386618959e+03 
       2.902151381750e-04       3.187459892442e+03 
       3.064337410232e-04       3.357453398253e+03 
       3.233187182630e-04       3.533834735557e+03 
       3.409237253478e-04       3.717099587363e+03 
       3.593061994556e-04       3.907772550444e+03 
       3.785275313216e-04       4.106407537309e+03 
       3.986532016651e-04       4.313587677425e+03 
       4.197528679206e-04       4.529924466439e+03 
       4.419003842333e-04       4.756056089435e+03 
       4.651737349255e-04       4.992644669910e+03 
       4.896548591380e-04       5.240372257748e+03 
       5.154293424640e-04       5.499935265877e+03 
       5.425859505803e-04       5.772037271084e+03 
       5.712159807542e-04       6.057379871626e+03 
       6.014124102975e-04       6.356651592969e+03 
       6.332688272377e-04       6.670514606537e+03 
       6.668781382122e-04       6.999589626067e+03 
       7.023310621381e-04       7.344438878779e+03 
       7.397144353408e-04       7.705548039457e+03 
       7.791093736539e-04       8.083307087720e+03 
       8.205893578336e-04       8.477991748558e+03 
       8.642183279931e-04       8.889745890619e+03 
       9.100488876135e-04       9.318566642854e+03 
       9.581207249038e-04       9.764292690183e+03 
       1.008459356273e-03       1.022659717839e+04 
       1.061075282125e-03       1.070498614084e+04 
       1.072292226224e-03       1.080633564721e+04 
       1.115963619604e-03       1.119880234951e+04 
       1.173104242760e-03       1.170723503645e+04 
       1.232462422144e-03       1.222933434667e+04 
       1.293989918186e-03       1.276403033313e+04 
       1.357626450844e-03       1.331015508137e+04 
       1.423301445879e-03       1.386646668936e+04 
       1.490935947676e-03       1.443167372960e+04 
       1.560444589730e-03       1.500446017436e+04 
       1.631737524957e-03       1.558350733710e+04 
       1.704722235902e-03       1.616751567353e+04 
       1.779305166283e-03       1.675522012515e+04 
       1.855393137210e-03       1.734540609625e+04 
