# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       8.061980080967e-06      -1.289031435099e-03      -9.672957677693e-04      -9.672957930654e-04      -1.289016228936e-03      -1.289328586374e-03      -9.674174804733e-04       4.024458536526e-01       4.023204090132e-01 
       1.799630943511e-05      -6.409288799464e-03      -4.819919717755e-03      -4.819920345617e-03      -6.408911796079e-03      -6.416653878579e-03      -4.820521839607e-03       4.024420953331e-01       4.023170426937e-01 
       2.795144444371e-05      -1.540263425251e-02      -1.162722654995e-02      -1.162723020109e-02      -1.540044632302e-02      -1.544536953624e-02      -1.162866053781e-02       4.024353905794e-01       4.023110284401e-01 
       3.794330216898e-05      -2.822742705469e-02      -2.142546536038e-02      -2.142547774522e-02      -2.822002752227e-02      -2.837193223445e-02      -2.142805882548e-02       4.024257380537e-01       4.023023649797e-01 
       4.798795688201e-05      -4.482665732101e-02      -3.427003758926e-02      -3.427006923250e-02      -4.480782555524e-02      -4.519434331627e-02      -3.427408378643e-02       4.024131190774e-01       4.022910339574e-01 
       5.810172544538e-05      -6.512636789742e-02      -5.023608173503e-02      -5.023614961752e-02      -6.508616611050e-02      -6.591110661437e-02      -5.024182837252e-02       4.023974689622e-01       4.022769712033e-01 
       6.830125434979e-05      -8.903355724663e-02      -6.941929777925e-02      -6.941942714359e-02      -8.895739364883e-02      -9.051983425772e-02      -6.942693491334e-02       4.023787132085e-01       4.022601029223e-01 
       7.860360911496e-05      -1.164335435002e-01      -9.193702264358e-02      -9.193724901411e-02      -1.163011864310e-01      -1.190154532735e-01      -9.194666941217e-02       4.023567719098e-01       4.022403499480e-01 
       8.902636677084e-05      -1.471867527273e-01      -1.179295681060e-01      -1.179299395573e-01      -1.469712982916e-01      -1.513879471681e-01      -1.179412580220e-01       4.023315400971e-01       4.022176079317e-01 
       9.958771214245e-05      -1.811249581562e-01      -1.475618520219e-01      -1.475624318064e-01      -1.807917238430e-01      -1.876195723865e-01      -1.475755165995e-01       4.023028996798e-01       4.021917592314e-01 
       1.103065386704e-04      -2.180468919492e-01      -1.810253424818e-01      -1.810262120113e-01      -2.175522670596e-01      -2.276814514534e-01      -1.810407928399e-01       4.022707144914e-01       4.021626676762e-01 
       1.212025545063e-04      -2.577132923901e-01      -2.185403504897e-01      -2.185416128298e-01      -2.570035211192e-01      -2.715294429944e-01      -2.185572567045e-01       4.022348302937e-01       4.021301784097e-01 
       1.322963946267e-04      -2.998413531150e-01      -2.603587068325e-01      -2.603604907377e-01      -2.988512767219e-01      -3.190991609592e-01      -2.603765746750e-01       4.021950716627e-01       4.020941144995e-01 
       1.436097397060e-04      -3.440986645519e-01      -3.067668736561e-01      -3.067693383015e-01      -3.427504210210e-01      -3.703000091546e-01      -3.067850184490e-01       4.021512464430e-01       4.020542810966e-01 
       1.551654424775e-04      -3.900966589635e-01      -3.580895303479e-01      -3.580928708408e-01      -3.882984064108e-01      -4.250080512013e-01      -3.581070476006e-01       4.021031368553e-01       4.020104561775e-01 
       1.669876622809e-04      -4.373838425056e-01      -4.146937106747e-01      -4.146981645622e-01      -4.350284732070e-01      -4.830575584415e-01      -4.147094432935e-01       4.020505050072e-01       4.019623956541e-01 
       1.791020084481e-04      -4.854388402953e-01      -4.769935427665e-01      -4.769993976030e-01      -4.824028478872e-01      -5.442310146436e-01      -4.770060445067e-01       4.019930869074e-01       4.019098268918e-01 
       1.915356930940e-04      -5.336638182274e-01      -5.454556842030e-01      -5.454632864954e-01      -5.298062996844e-01      -6.082473896522e-01      -5.454631793361e-01       4.019305938093e-01       4.018524495235e-01 
       2.043176937639e-04      -5.813785507347e-01      -6.206055313543e-01      -6.206152969641e-01      -5.765405505464e-01      -6.747484596201e-01      -6.206058703835e-01       4.018627092213e-01       4.017899318335e-01 
       2.174789262103e-04      -6.278160053644e-01      -7.030343086210e-01      -7.030467350475e-01      -6.218202564169e-01      -7.432829910221e-01      -7.030249203538e-01       4.017890878977e-01       4.017219090671e-01 
       2.310524273322e-04      -6.721201752018e-01      -7.934071451769e-01      -7.934228258922e-01      -6.647714974854e-01      -8.132886332844e-01      -7.933849854397e-01       4.017093533428e-01       4.016479801813e-01 
       2.450735479811e-04      -7.133474410920e-01      -8.924722678283e-01      -8.924919090779e-01      -7.044340211252e-01      -8.840714577187e-01      -8.924337656350e-01       4.016230971907e-01       4.015677064216e-01 
       2.595801548955e-04      -7.504729473452e-01      -1.001071438360e+00      -1.001095878688e+00      -7.397687980019e-01      -9.547832008095e-01      -1.001012440622e+00       4.015298764247e-01       4.014806077097e-01 
