#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.003568735815e-02       1.458124564673e-07      -1.214256347094e+00       2.125751753760e-06       3.542857825247e-14       8.857144563118e-14       8.303458858674e-24       1.771428912624e-14      -9.106922603203e-01       2.125751753760e-06       6.076784393666e-01       6.964359380585e-01      -9.106922603203e-01       2.125751849166e-06      -1.214256347262e+00       2.125751707227e-06       1.988600649381e-08       3.333333333333e-01      -1.214256347094e+00       2.125751707373e-06       1.986551829709e-08       3.333333333333e-01 
       7.006216412806e-02       1.458675876636e-07      -1.214256444705e+00       2.126555452102e-06       3.546877898866e-14       8.867194747166e-14       8.319168109232e-24       1.773438949433e-14      -9.106923335288e-01       2.126555452102e-06       6.076784664409e-01       6.964359136744e-01      -9.106923335288e-01       2.126555547616e-06      -1.214256444874e+00       2.126555405516e-06       1.990103542289e-08       3.333333333333e-01      -1.214256444705e+00       2.126555405663e-06       1.988053174213e-08       3.333333333333e-01 
       7.008864089796e-02       1.459227188654e-07      -1.214256547065e+00       2.127359158795e-06       3.550901026585e-14       8.877252566462e-14       8.334901160931e-24       1.775450513292e-14      -9.106924102985e-01       2.127359158795e-06       6.076784923769e-01       6.964358881033e-01      -9.106924102985e-01       2.127359254418e-06      -1.214256547234e+00       2.127359112156e-06       1.991607000956e-08       3.333333333333e-01      -1.214256547065e+00       2.127359112303e-06       1.989555083894e-08       3.333333333333e-01 
       7.020279579103e-02       1.461604177286e-07      -1.214257996743e+00       2.130826119987e-06       3.568284591222e-14       8.920711478054e-14       8.403014181367e-24       1.784142295611e-14      -9.106934975572e-01       2.130826119987e-06       6.076783719336e-01       6.964355257647e-01      -9.106934975572e-01       2.130826216078e-06      -1.214257996912e+00       2.130826073120e-06       1.998095229352e-08       3.333333333333e-01      -1.214257996743e+00       2.130826073268e-06       1.996036627583e-08       3.333333333333e-01 
       7.031695068410e-02       1.463981166939e-07      -1.214259958326e+00       2.134293989255e-06       3.585726328603e-14       8.964315821507e-14       8.471575400670e-24       1.792863164301e-14      -9.106949687442e-01       2.134293989255e-06       6.076781325986e-01       6.964350354502e-01      -9.106949687442e-01       2.134294085815e-06      -1.214259958496e+00       2.134293942159e-06       2.004593799086e-08       3.333333333333e-01      -1.214259958326e+00       2.134293942307e-06       2.002528501957e-08       3.333333333333e-01 
       7.043110557717e-02       1.466358157611e-07      -1.214262058398e+00       2.137762111664e-06       3.603225241878e-14       9.008063104695e-14       8.540584445891e-24       1.801612620939e-14      -9.106965437983e-01       2.137762111664e-06       6.076778602733e-01       6.964345105135e-01      -9.106965437983e-01       2.137762208696e-06      -1.214262058568e+00       2.137762064339e-06       2.011102864532e-08       3.333333333333e-01      -1.214262058398e+00       2.137762064488e-06       2.009030861229e-08       3.333333333333e-01 
       7.054526047024e-02       1.468735149303e-07      -1.214264164752e+00       2.141230254426e-06       3.620781033759e-14       9.051952584397e-14       8.610042581284e-24       1.810390516879e-14      -9.106981235641e-01       2.141230254426e-06       6.076775854012e-01       6.964339840063e-01      -9.106981235641e-01       2.141230351930e-06      -1.214264164923e+00       2.141230206870e-06       2.017622478894e-08       3.333333333333e-01      -1.214264164752e+00       2.141230207020e-06       2.015543758549e-08       3.333333333333e-01 
       7.083653252224e-02       1.474800169878e-07      -1.214269438832e+00       2.150079270034e-06       3.665833511664e-14       9.164583779161e-14       8.789317556838e-24       1.832916755832e-14      -9.107020791241e-01       2.150079270034e-06       6.076769021910e-01       6.964326656946e-01      -9.107020791241e-01       2.150079368751e-06      -1.214269439005e+00       2.150079221887e-06       2.034305513434e-08       3.333333333333e-01      -1.214269438832e+00       2.150079222038e-06       2.032209604856e-08       3.333333333333e-01 
       7.112780457424e-02       1.480865197093e-07      -1.214274629010e+00       2.158928202152e-06       3.711258055178e-14       9.278145137944e-14       8.971566221978e-24       1.855629027589e-14      -9.107059717578e-01       2.158928202152e-06       6.076762306198e-01       6.964313683592e-01      -9.107059717578e-01       2.158928302091e-06      -1.214274629184e+00       2.158928153408e-06       2.051057342022e-08       3.333333333333e-01      -1.214274629010e+00       2.158928153561e-06       2.048944174333e-08       3.333333333333e-01 
       7.141907662625e-02       1.486930230948e-07      -1.214279764580e+00       2.167777105188e-06       3.757056286825e-14       9.392640717063e-14       9.156825643582e-24       1.878528143413e-14      -9.107098234352e-01       2.167777105188e-06       6.076755634943e-01       6.964300846768e-01      -9.107098234352e-01       2.167777206360e-06      -1.214279764756e+00       2.167777055843e-06       2.067877991703e-08       3.333333333333e-01      -1.214279764580e+00       2.167777055998e-06       2.065747493998e-08       3.333333333333e-01 
       7.171034867825e-02       1.492995271442e-07      -1.214284816150e+00       2.176625919813e-06       3.803229633452e-14       9.508074083631e-14       9.345132718158e-24       1.901614816726e-14      -9.107136121126e-01       2.176625919813e-06       6.076749083892e-01       6.964288219952e-01      -9.107136121126e-01       2.176626022228e-06      -1.214284816327e+00       2.176625869862e-06       2.084767424906e-08       3.333333333333e-01      -1.214284816150e+00       2.176625870019e-06       2.082619526320e-08       3.333333333333e-01 
       7.257079750486e-02       1.510912089191e-07      -1.214299459642e+00       2.202766136382e-06       3.941836904445e-14       9.854592261113e-14       9.919575885581e-24       1.970918452223e-14      -9.107245947317e-01       2.202766136382e-06       6.076729922794e-01       6.964251617502e-01      -9.107245947317e-01       2.202766242528e-06      -1.214299459823e+00       2.202766084611e-06       2.135062485476e-08       3.333333333333e-01      -1.214299459642e+00       2.202766084773e-06       2.132862768786e-08       3.333333333333e-01 
       7.343124633146e-02       1.528828964883e-07      -1.214313614903e+00       2.228906002279e-06       4.083771237573e-14       1.020942809393e-13       1.052192667987e-23       2.041885618786e-14      -9.107352111771e-01       2.228906002279e-06       6.076711260782e-01       6.964216235706e-01      -9.107352111771e-01       2.228906112245e-06      -1.214313615088e+00       2.228905948645e-06       2.185957957807e-08       3.333333333333e-01      -1.214313614903e+00       2.228905948813e-06       2.183705804419e-08       3.333333333333e-01 
       7.429169515807e-02       1.546745898516e-07      -1.214327250449e+00       2.255045424946e-06       4.229071902246e-14       1.057267975562e-13       1.115318936573e-23       2.114535951123e-14      -9.107454378368e-01       2.255045424946e-06       6.076693218325e-01       6.964182153271e-01      -9.107454378368e-01       2.255045538823e-06      -1.214327250639e+00       2.255045369404e-06       2.237453814898e-08       3.333333333333e-01      -1.214327250449e+00       2.255045369578e-06       2.235148606247e-08       3.333333333333e-01 
