# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.092154919692e-26       4.349203663878e-09       2.299416617247e+22       1.372278864509e+04       1.372278864509e-10       1.372278864509e+18       2.510855426803e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.902607020498e+44       6.342023401659e+43       6.331492235481e+43       2.110497411827e+43       5.697627337930e-08       5.287316779672e+44       6.908069036006e-20       2.000000000000e+14 
       9.930486593843e+13       7.191792604159e-26       4.380126483738e-09       2.267559671424e+22       1.372278864509e+04       1.381884816561e-10       1.362739686702e+18       2.528431414791e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.850253407593e+44       6.167511358644e+43       6.157269976216e+43       2.052423325405e+43       5.697627337930e-08       5.141826863466e+44       9.637604251953e-08       1.433565615564e+02 
       9.861456399050e+13       7.292830098455e-26       4.409230314195e-09       2.236144083199e+22       1.372278864509e+04       1.391558010277e-10       1.353266818970e+18       2.546130434694e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.799340397375e+44       5.997801324582e+43       5.987841751990e+43       1.995947250663e+43       5.697627337930e-08       5.000340360826e+44       1.927520850390e-07       7.167828077820e+01 
       9.792906056653e+13       7.395287068508e-26       4.440153134055e-09       2.205163737846e+22       1.372278864509e+04       1.401298916349e-10       1.343859800367e+18       2.563953347737e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.749828349099e+44       5.832761163665e+43       5.823075646409e+43       1.941025215470e+43       5.697627337930e-08       4.862747110712e+44       2.891281275584e-07       4.778552051880e+01 
       9.724832231036e+13       7.499183456533e-26       4.471075953916e-09       2.174612605354e+22       1.372278864509e+04       1.411108008763e-10       1.334518173155e+18       2.581901021171e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.701678712810e+44       5.672262376034e+43       5.662843372996e+43       1.887614457665e+43       5.697627337930e-08       4.728939983363e+44       3.855041700779e-07       3.583914038910e+01 
       9.657231609767e+13       7.604539484914e-26       4.503817763180e-09       2.144484739252e+22       1.372278864509e+04       1.420985764824e-10       1.325241482775e+18       2.599974328319e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.654853999320e+44       5.516179997735e+43       5.507020175302e+43       1.835673391767e+43       5.697627337930e-08       4.598814796886e+44       4.818802125973e-07       2.867131231128e+01 
       9.590100903443e+13       7.711375660137e-26       4.534740583040e-09       2.114774275457e+22       1.372278864509e+04       1.430932665178e-10       1.316029277831e+18       2.618174148617e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.609317751025e+44       5.364392503417e+43       5.355484729774e+43       1.785161576591e+43       5.697627337930e-08       4.472270236133e+44       5.782562551167e-07       2.389276025940e+01 
       9.523436845525e+13       7.819712776787e-26       4.565663402900e-09       2.085475431125e+22       1.372278864509e+04       1.440949193835e-10       1.306881110060e+18       2.636501367658e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.565034513515e+44       5.216781711715e+43       5.208119051293e+43       1.736039683764e+43       5.697627337930e-08       4.349207773826e+44       6.746322976361e-07       2.047950879377e+01 
       9.457236192179e+13       7.929571921588e-26       4.598405212164e-09       2.056582503533e+22       1.372278864509e+04       1.451035838191e-10       1.297796534320e+18       2.654956877231e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.521969807971e+44       5.073232693237e+43       5.064808401308e+43       1.688269467103e+43       5.697627337930e-08       4.229531593838e+44       7.710083401555e-07       1.791957019455e+01 
       9.391495722125e+13       8.040974477514e-26       4.631147021428e-09       2.028089868964e+22       1.372278864509e+04       1.461193089059e-10       1.288775108560e+18       2.673541575372e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       1.480090104322e+44       4.933633681074e+43       4.925441198507e+43       1.641813732836e+43       5.697627337930e-08       4.113148516595e+44       8.673843826749e-07       1.592850683960e+01 
       9.326212236469e+13       8.153942127948e-26       4.663888830692e-09       1.999991981615e+22       1.372278864509e+04       1.471421440682e-10       1.279816393803e+18       2.692256366399e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       1.439362795135e+44       4.797875983783e+43       4.789908931931e+43       1.596636310644e+43       5.697627337930e-08       3.999967926523e+44       9.637604251943e-07       1.433565615564e+01 
       9.261382558559e+13       8.268496860904e-26       4.696630639955e-09       1.972283372514e+22       1.372278864509e+04       1.481721390767e-10       1.270919954125e+18       2.711102160964e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       1.399756170228e+44       4.665853900760e+43       4.658106076497e+43       1.552702025499e+43       5.697627337930e-08       3.889901701497e+44       1.060136467714e-06       1.303241468694e+01 
       9.197003533823e+13       8.384660973303e-26       4.729372449219e-09       1.944958648462e+22       1.372278864509e+04       1.492093440502e-10       1.262085356628e+18       2.730079876091e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       1.361239391983e+44       4.537464639942e+43       4.529930010830e+43       1.509976670277e+43       5.697627337930e-08       3.782864144229e+44       1.156512510233e-06       1.194638012970e+01 
       9.133072029615e+13       8.502457075316e-26       4.762114258483e-09       1.918012490977e+22       1.372278864509e+04       1.502538094586e-10       1.253312171428e+18       2.749190435223e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       1.323782471331e+44       4.412608237769e+43       4.405280937366e+43       1.468426979122e+43       5.697627337930e-08       3.678771915543e+44       1.252888552752e-06       1.102742781203e+01 
       9.069584935070e+13       8.621908094767e-26       4.794856067747e-09       1.891439655260e+22       1.372278864509e+04       1.513055861248e-10       1.244599971627e+18       2.768434768270e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       1.287356244408e+44       4.291187481359e+43       4.284061804646e+43       1.428020601549e+43       5.697627337930e-08       3.577543969491e+44       1.349264595272e-06       1.023975439688e+01 
       9.006539160943e+13       8.743037281591e-26       4.829416866414e-09       1.865234969179e+22       1.372278864509e+04       1.523647252277e-10       1.235948333294e+18       2.787813811647e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       1.251932349844e+44       4.173107832814e+43       4.166178231757e+43       1.388726077252e+43       5.697627337930e-08       3.479101490247e+44       1.445640637791e-06       9.557104103758e+00 
       8.943931639467e+13       8.865868212359e-26       4.862158675678e-09       1.839393332254e+22       1.372278864509e+04       1.534312783042e-10       1.227356835446e+18       2.807328508329e-09       1.760730780460e+44       1.779844290435e+33       9.418576810560e+33       1.217483206684e+44       4.058277355614e+43       4.051538434843e+43       1.350512811614e+43       5.697627337930e-08       3.383367830740e+44       1.542016680310e-06       8.959785097273e+00 
       8.881759324197e+13       8.990424794875e-26       4.896719474345e-09       1.813909714673e+22       1.372278864509e+04       1.545052972524e-10       1.218825060025e+18       2.826979807887e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       1.183981992911e+44       3.946606643036e+43       3.940053155645e+43       1.313351051882e+43       5.697627337930e-08       3.290268452984e+44       1.638392722830e-06       8.432738915080e+00 
       8.820019189868e+13       9.116731272818e-26       4.931280273013e-09       1.788779156306e+22       1.372278864509e+04       1.555868343331e-10       1.210352591882e+18       2.846768666542e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       1.151402624562e+44       3.838008748542e+43       3.831635592001e+43       1.277211864000e+43       5.697627337930e-08       3.199730870035e+44       1.734768765349e-06       7.964253419798e+00 
       8.758708232243e+13       9.244812230469e-26       4.965841071680e-09       1.763996765744e+22       1.372278864509e+04       1.566759421735e-10       1.201939018751e+18       2.866696047208e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       1.119719735424e+44       3.732399118081e+43       3.726201330267e+43       1.242067110089e+43       5.697627337930e-08       3.111684589556e+44       1.831144807868e-06       7.545082187176e+00 
       8.697823467967e+13       9.374692597495e-26       5.000401870348e-09       1.739557719345e+22       1.372278864509e+04       1.577726737687e-10       1.193583931232e+18       2.886762919538e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       1.088908657278e+44       3.629695524261e+43       3.623668279591e+43       1.207889426530e+43       5.697627337930e-08       3.026061058934e+44       1.927520850388e-06       7.167828077817e+00 
       8.637361934426e+13       9.506397653797e-26       5.034962669015e-09       1.715457260296e+22       1.372278864509e+04       1.588770824851e-10       1.185286922773e+18       2.906970259975e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       1.058945400695e+44       3.529818002318e+43       3.523956607995e+43       1.174652202665e+43       5.697627337930e-08       2.942793611901e+44       2.023896892907e-06       6.826502931254e+00 
       8.577320689599e+13       9.639953034435e-26       5.069523467682e-09       1.691690697684e+22       1.372278864509e+04       1.599892220625e-10       1.177047589645e+18       2.927319051794e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       1.029806636359e+44       3.432688787863e+43       3.426988680220e+43       1.142329560073e+43       5.697627337930e-08       2.861817416631e+44       2.120272935426e-06       6.516207343470e+00 
