# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.674204590511e-10       4.359331566588e-15       3.263930792652e-13       0.000000000000e+00       7.237817787961e-09       5.911775583771e-10      -1.833578458714e-12 
    3       1.526722621761e-10       5.255719319150e-15       3.770843824046e-13       0.000000000000e+00       4.516293762986e-09       4.116827115535e-10      -1.339472021615e-12 
    4       1.406862640218e-10       4.222709413026e-15       3.539043040992e-13       0.000000000000e+00       3.149391883564e-09       3.077604043028e-10      -8.212556438680e-13 
    5       1.320414052484e-10       2.612302027811e-15       2.997097007137e-13       0.000000000000e+00       2.352194442429e-09       2.408425288540e-10      -4.044965422869e-13 
    6       1.260649855564e-10       1.390115456040e-15       2.394234703001e-13       0.000000000000e+00       1.836861862334e-09       1.945776255969e-10      -1.170363520988e-13 
    7       1.220351942284e-10       7.731436916166e-16       1.869600864019e-13       0.000000000000e+00       1.480419092808e-09       1.609942813800e-10       4.754804245223e-14 
    8       1.194296446055e-10       5.413184345813e-16       1.479256952765e-13       0.000000000000e+00       1.222255803106e-09       1.357352703875e-10       1.135783973924e-13 
    9       1.178481029562e-10       4.423815338695e-16       1.230848987461e-13       0.000000000000e+00       1.028669859233e-09       1.162270759472e-10       1.128428257624e-13 
   10       1.170294914464e-10       3.644955514016e-16       1.105524301187e-13       0.000000000000e+00       8.791541860711e-10       1.008212781980e-10       7.693329257049e-14 
   11       1.167937720214e-10       3.026875008747e-16       1.072580194612e-13       0.000000000000e+00       7.460414421747e-10       8.877286117833e-11       3.219906936934e-14 
   12       1.170261482438e-10       2.727175594092e-16       1.099888273715e-13       0.000000000000e+00       6.517828627847e-10       7.837370429931e-11      -5.298188788589e-15 
   13       1.175521905689e-10       2.718532075146e-16       1.160744184223e-13       0.000000000000e+00       5.743777533072e-10       6.980206279488e-11      -2.712216404222e-14 
   14       1.183758227415e-10       2.879183482402e-16       1.237226730302e-13       0.000000000000e+00       5.099540182983e-10       6.239385916151e-11      -3.325939860393e-14 
   15       1.194623505869e-10       3.160546645454e-16       1.318507102974e-13       0.000000000000e+00       4.557126202158e-10       5.615327675850e-11      -2.775404051277e-14 
   16       1.207106295050e-10       3.602560894037e-16       1.400451321663e-13       0.000000000000e+00       4.095860022786e-10       5.079849221892e-11      -1.688838230195e-14 
   17       1.221009828542e-10       4.250952989552e-16       1.484671349988e-13       0.000000000000e+00       3.700115125464e-10       4.615688356129e-11      -6.354363571216e-15 
   18       1.236483093143e-10       5.106762756640e-16       1.573171589225e-13       0.000000000000e+00       3.356615635825e-10       4.212427373499e-11       7.476590457620e-17 
   19       1.253484533728e-10       6.159999277051e-16       1.667484930318e-13       0.000000000000e+00       3.059878929860e-10       3.863017185864e-11       1.625119991057e-15 
   20       1.271293732501e-10       7.394541425331e-16       1.768255601941e-13       0.000000000000e+00       2.798536362180e-10       3.552254209161e-11      -1.090662414999e-15 
   21       1.289949900044e-10       8.810414738812e-16       1.872775867284e-13       0.000000000000e+00       2.568490723109e-10       3.274838571581e-11      -6.169125992475e-15 
   22       1.309415712254e-10       1.041047050088e-15       1.976515636287e-13       0.000000000000e+00       2.364230767338e-10       3.024826898133e-11      -1.100235649456e-14 
   23       1.329749614239e-10       1.219627696200e-15       2.075969098792e-13       0.000000000000e+00       2.182951227177e-10       2.802154426545e-11      -1.422786613293e-14 
   24       1.350805083101e-10       1.416983279324e-15       2.167754265617e-13       0.000000000000e+00       2.020469560454e-10       2.605349800608e-11      -1.500992723871e-14 
   25       1.372533142992e-10       1.634537841927e-15       2.249795775560e-13       0.000000000000e+00       1.874872372999e-10       2.429716087432e-11      -1.367338157869e-14 
   26       1.394766579546e-10       1.874197263735e-15       2.320746547130e-13       0.000000000000e+00       1.743520692980e-10       2.268176695792e-11      -1.111662277548e-14 
   27       1.417536027617e-10       2.137761701262e-15       2.381079397706e-13       0.000000000000e+00       1.624839149781e-10       2.119905756681e-11      -8.434482288231e-15 
   28       1.440826616511e-10       2.426968743258e-15       2.431943179551e-13       0.000000000000e+00       1.516783553347e-10       1.984952955169e-11      -6.743925233611e-15 
   29       1.464691777806e-10       2.743056884497e-15       2.473601316364e-13       0.000000000000e+00       1.418799927806e-10       1.863044723567e-11      -6.184419190462e-15 
   30       1.489069419986e-10       3.087060967760e-15       2.506180089323e-13       0.000000000000e+00       1.329833019365e-10       1.752562911864e-11      -6.531979573990e-15 
   31       1.513787652854e-10       3.459942182662e-15       2.529693548158e-13       0.000000000000e+00       1.248065188116e-10       1.650917143312e-11      -7.460768550134e-15 
   32       1.538881014693e-10       3.862624002278e-15       2.543025667607e-13       0.000000000000e+00       1.173072996820e-10       1.557564353811e-11      -8.577526249279e-15 
   33       1.564365437211e-10       4.295955808301e-15       2.544540322363e-13       0.000000000000e+00       1.104325936762e-10       1.471927534061e-11      -9.384413160662e-15 
   34       1.590182577133e-10       4.760765251235e-15       2.532579595790e-13       0.000000000000e+00       1.040861480498e-10       1.392858586780e-11      -9.421404038599e-15 
   35       1.616338532413e-10       5.258099905639e-15       2.506360028196e-13       0.000000000000e+00       9.823522146399e-11       1.319804627431e-11      -8.822646115121e-15 
   36       1.642795453535e-10       5.789065596693e-15       2.465384258330e-13       0.000000000000e+00       9.283252170747e-11       1.251936759201e-11      -7.959826968908e-15 
   37       1.669479017636e-10       6.354696036084e-15       2.409276226432e-13       0.000000000000e+00       8.780737066024e-11       1.188161108230e-11      -7.217688836260e-15 
   38       1.696462606191e-10       6.955727029023e-15       2.338015071322e-13       0.000000000000e+00       8.314665145922e-11       1.128409080149e-11      -6.702570085542e-15 
   39       1.723832685479e-10       7.592739918169e-15       2.251790088652e-13       0.000000000000e+00       7.883551916908e-11       1.072711013462e-11      -6.441350490951e-15 
   40       1.751633021577e-10       8.266213719921e-15       2.150949395951e-13       0.000000000000e+00       7.483279017243e-11       1.020817970986e-11      -6.459125821615e-15 
   41       1.779865091543e-10       8.976625995852e-15       2.035785880483e-13       0.000000000000e+00       7.108525477152e-11       9.723174514822e-12      -6.759915341135e-15 
   42       1.808501681143e-10       9.724810515007e-15       1.905790224808e-13       0.000000000000e+00       6.758173894618e-11       9.270874301408e-12      -7.261937071933e-15 
