# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.674208838311e-10       4.359532991084e-15       3.263930755700e-13       2.014244893052e-19       7.237817787961e-09       5.911775583771e-10      -1.833578458714e-12 
    3       1.526731100236e-10       5.256122270942e-15       3.770843659342e-13       4.029517176151e-19       4.516293762986e-09       4.116827115535e-10      -1.339472021615e-12 
    4       1.406876733348e-10       4.223381225193e-15       3.539042567645e-13       6.718118078405e-19       3.149391883564e-09       3.077604043028e-10      -8.212556438680e-13 
    5       1.320435122493e-10       2.613310163367e-15       2.997095928558e-13       1.008134337643e-18       2.352194442429e-09       2.408425288540e-10      -4.044965422869e-13 
    6       1.260679238381e-10       1.391527534463e-15       2.394232581587e-13       1.412075137165e-18       1.836861862334e-09       1.945776255969e-10      -1.170363520988e-13 
    7       1.220390943561e-10       7.750275116890e-16       1.869597098043e-13       1.883812538420e-18       1.480419092808e-09       1.609942813800e-10       4.754804245223e-14 
    8       1.194346337809e-10       5.437419930771e-16       1.479250755759e-13       2.423543200107e-18       1.222255803106e-09       1.357352703875e-10       1.135783973924e-13 
    9       1.178543047499e-10       4.454130397263e-16       1.230839370327e-13       3.031477662805e-18       1.028669859233e-09       1.162270759472e-10       1.128428257624e-13 
   10       1.170370256007e-10       3.682034351718e-16       1.105510057159e-13       3.707835797880e-18       8.791541860711e-10       1.008212781980e-10       7.693329257049e-14 
   11       1.168027543247e-10       3.071404193675e-16       1.072559887145e-13       4.452842315106e-18       7.460414421747e-10       8.877286117833e-11       3.219906936934e-14 
   12       1.170366904754e-10       2.779843955684e-16       1.099860227279e-13       5.266722488931e-18       6.517828627847e-10       7.837370429931e-11      -5.298188788589e-15 
   13       1.175644005101e-10       2.780030656920e-16       1.160706477925e-13       6.149698251759e-18       5.743777533072e-10       6.980206279488e-11      -2.712216404222e-14 
   14       1.183898042483e-10       2.950205451288e-16       1.237177194205e-13       7.101984784999e-18       5.099540182983e-10       6.239385916151e-11      -3.325939860393e-14 
   15       1.194782037169e-10       3.241787161182e-16       1.318443316927e-13       8.123787715778e-18       4.557126202158e-10       5.615327675850e-11      -2.775404051277e-14 
   16       1.207284506905e-10       3.694716942671e-16       1.400370616434e-13       9.215301000027e-18       4.095860022786e-10       5.079849221892e-11      -1.688838230195e-14 
   17       1.221208651109e-10       4.354723185625e-16       1.484570810463e-13       1.037670554230e-17       3.700115125464e-10       4.615688356129e-11      -6.354363571216e-15 
   18       1.236703424813e-10       5.222847116541e-16       1.573048059543e-13       1.160816821625e-17       3.356615635825e-10       4.212427373499e-11       7.476590457620e-17 
   19       1.253727243460e-10       6.289098979684e-16       1.667335020141e-13       1.290984375033e-17       3.059878929860e-10       3.863017185864e-11       1.625119991057e-15 
   20       1.271559662685e-10       7.537358533307e-16       1.768075695208e-13       1.428187166289e-17       2.798536362180e-10       3.552254209161e-11      -1.090662414999e-15 
   21       1.290239868655e-10       8.967651933585e-16       1.872562130808e-13       1.572438288773e-17       2.568490723109e-10       3.274838571581e-11      -6.169125992475e-15 
   22       1.309730515592e-10       1.058283077503e-15       1.976264031026e-13       1.723749622332e-17       2.364230767338e-10       3.024826898133e-11      -1.100235649456e-14 
   23       1.330090028655e-10       1.238446333352e-15       2.075675390681e-13       1.882132635371e-17       2.182951227177e-10       2.802154426545e-11      -1.422786613293e-14 
   24       1.351171867317e-10       1.437454797582e-15       2.167414039157e-13       2.047598025993e-17       2.020469560454e-10       2.605349800608e-11      -1.500992723871e-14 
   25       1.372927039039e-10       1.656732451983e-15       2.249404446959e-13       2.220156662712e-17       1.874872372999e-10       2.429716087432e-11      -1.367338157869e-14 
   26       1.395188314436e-10       1.898185080650e-15       2.320299380293e-13       2.399819162241e-17       1.743520692980e-10       2.268176695792e-11      -1.111662277548e-14 
   27       1.417986313694e-10       2.163612711291e-15       2.380571520410e-13       2.586596699995e-17       1.624839149781e-10       2.119905756681e-11      -8.434482288231e-15 
   28       1.441306152270e-10       2.454752766483e-15       2.431369602372e-13       2.780500711639e-17       1.516783553347e-10       1.984952955169e-11      -6.743925233611e-15 
   29       1.465201246662e-10       2.772843538815e-15       2.472956952900e-13       2.981543816975e-17       1.418799927806e-10       1.863044723567e-11      -6.184419190462e-15 
   30       1.489609490547e-10       3.118919627883e-15       2.505459778642e-13       3.189739194904e-17       1.329833019365e-10       1.752562911864e-11      -6.531979573990e-15 
   31       1.514358979101e-10       3.493941935852e-15       2.528892079894e-13       3.405100505162e-17       1.248065188116e-10       1.650917143312e-11      -7.460768550134e-15 
   32       1.539484233652e-10       3.898833602088e-15       2.542137811380e-13       3.627642458693e-17       1.173072996820e-10       1.557564353811e-11      -8.577526249279e-15 
   33       1.565001168061e-10       4.334443626227e-15       2.543560857317e-13       3.857380587198e-17       1.104325936762e-10       1.471927534061e-11      -9.384413160662e-15 
   34       1.590851420506e-10       4.801599224345e-15       2.531503343037e-13       4.094330994483e-17       1.040861480498e-10       1.392858586780e-11      -9.421404038599e-15 
   35       1.617041068476e-10       5.301347475408e-15       2.505181891292e-13       4.338509731379e-17       9.823522146399e-11       1.319804627431e-11      -8.822646115121e-15 
   36       1.643532240658e-10       5.834793649928e-15       2.464099261653e-13       4.589933310664e-17       9.283252170747e-11       1.251936759201e-11      -7.959826968908e-15 
   37       1.670250591407e-10       6.402970841585e-15       2.407879556512e-13       4.848618254640e-17       8.780737066024e-11       1.188161108230e-11      -7.217688836260e-15 
   38       1.697269478962e-10       7.006614159201e-15       2.336502129120e-13       5.114578774702e-17       8.314665145922e-11       1.128409080149e-11      -6.702570085542e-15 
   39       1.724675345342e-10       7.646304176634e-15       2.250156537980e-13       5.387828361566e-17       7.883551916908e-11       1.072711013462e-11      -6.441350490951e-15 
   40       1.752511931066e-10       8.322519069835e-15       2.149191211721e-13       5.668380408438e-17       7.483279017243e-11       1.020817970986e-11      -6.459125821615e-15 
   41       1.780780686977e-10       9.035735482582e-15       2.033899400718e-13       5.956247189586e-17       7.108525477152e-11       9.723174514822e-12      -6.759915341135e-15 
   42       1.809454374481e-10       9.786786175583e-15       1.903772210284e-13       6.251436393883e-17       6.758173894618e-11       9.270874301408e-12      -7.261937071933e-15 
   43       1.838459348124e-10       1.057660790865e-14       1.758017120945e-13       6.553953464402e-17       6.431277635144e-11       8.849469913544e-12      -7.840768061241e-15 
