# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.673252486049e-10       4.358355970450e-15       3.262937901053e-13       0.000000000000e+00       7.215479391877e-09       5.899344842147e-10      -1.833418191303e-12 
    3       1.525622377668e-10       5.254164620822e-15       3.769086416521e-13       0.000000000000e+00       4.499860748770e-09       4.105513256928e-10      -1.339303136338e-12 
    4       1.405624602847e-10       4.220885577233e-15       3.536568234483e-13       0.000000000000e+00       3.136894761728e-09       3.067408051227e-10      -8.211021043069e-13 
    5       1.319017276176e-10       2.610373480397e-15       2.993945591738e-13       0.000000000000e+00       2.342190837856e-09       2.399183732603e-10      -4.043530311440e-13 
    6       1.259065661550e-10       1.388204258257e-15       2.390403372621e-13       0.000000000000e+00       1.828578342252e-09       1.937365440504e-10      -1.168889610426e-13 
    7       1.218542179241e-10       7.713538908727e-16       1.865031433217e-13       0.000000000000e+00       1.473406364344e-09       1.602258212296e-10       4.771194937643e-14 
    8       1.192214826912e-10       5.396563674066e-16       1.473849119228e-13       0.000000000000e+00       1.216204214240e-09       1.350300279228e-10       1.137637336425e-13 
    9       1.176094340253e-10       4.407061444423e-16       1.224467969317e-13       0.000000000000e+00       1.023353027327e-09       1.155773018342e-10       1.130440941847e-13 
   10       1.167559996973e-10       3.625774540969e-16       1.098022187153e-13       0.000000000000e+00       8.744135181420e-10       1.002207712164e-10       7.713608653627e-14 
   11       1.164820614013e-10       3.003080790399e-16       1.063811690854e-13       0.000000000000e+00       7.415510301340e-10       8.821000193166e-11       3.238069341138e-14 
   12       1.166727381238e-10       2.697046877466e-16       1.089715115791e-13       0.000000000000e+00       6.477069617741e-10       7.785089024046e-11      -5.148118251453e-15 
   13       1.171538400535e-10       2.680352074457e-16       1.149046492103e-13       0.000000000000e+00       5.706577337490e-10       6.931621778025e-11      -2.701384578750e-14 
   14       1.179293896722e-10       2.830629768404e-16       1.223896474337e-13       0.000000000000e+00       5.065428629506e-10       6.194101779126e-11      -3.318989994078e-14 
   15       1.189651527025e-10       3.098567109645e-16       1.303459122276e-13       0.000000000000e+00       4.525719396122e-10       5.573047775218e-11      -2.771417422324e-14 
   16       1.201603809655e-10       3.523691335417e-16       1.383626864670e-13       0.000000000000e+00       4.066840584000e-10       5.040373690193e-11      -1.686126650011e-14 
   17       1.214958939936e-10       4.151651227207e-16       1.466012114766e-13       0.000000000000e+00       3.673217572869e-10       4.578813160541e-11      -6.320524890902e-15 
