# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.673256646139e-10       4.358553912920e-15       3.262937864847e-13       1.979424635140e-19       7.215479391877e-09       5.899344842147e-10      -1.833418191303e-12 
    3       1.525630681095e-10       5.254560605497e-15       3.769086255150e-13       3.959846056534e-19       4.499860748770e-09       4.105513256928e-10      -1.339303136338e-12 
    4       1.405638405046e-10       4.221545770793e-15       3.536567770743e-13       6.601932255468e-19       3.136894761728e-09       3.067408051227e-10      -8.211021043069e-13 
    5       1.319037911306e-10       2.611364175549e-15       2.993944535119e-13       9.906940177182e-19       2.342190837856e-09       2.399183732603e-10      -4.043530311440e-13 
    6       1.259094438056e-10       1.389591899429e-15       2.390401294571e-13       1.387638122325e-18       1.828578342252e-09       1.937365440504e-10      -1.168889610426e-13 
    7       1.218580375970e-10       7.732050963169e-16       1.865027744573e-13       1.851198475064e-18       1.473406364344e-09       1.602258212296e-10       4.771194937643e-14 
    8       1.192263689843e-10       5.420379472406e-16       1.473843050137e-13       2.381565744288e-18       1.216204214240e-09       1.350300279228e-10       1.137637336425e-13 
    9       1.176155079893e-10       4.436851142846e-16       1.224458551853e-13       2.978944006370e-18       1.023353027327e-09       1.155773018342e-10       1.130440941847e-13 
   10       1.167633786448e-10       3.662210440888e-16       1.098008240766e-13       3.643546318485e-18       8.744135181420e-10       1.002207712164e-10       7.713608653627e-14 
   11       1.164908587866e-10       3.046837381673e-16       1.063791810721e-13       4.375590349629e-18       7.415510301340e-10       8.821000193166e-11       3.238069341138e-14 
   12       1.166830634911e-10       2.748800835017e-16       1.089687664049e-13       5.175294225781e-18       6.477069617741e-10       7.785089024046e-11      -5.148118251453e-15 
   13       1.171657990508e-10       2.740782209835e-16       1.149009591890e-13       6.042872733831e-18       5.706577337490e-10       6.931621778025e-11      -2.701384578750e-14 
   14       1.179430841253e-10       2.900416938868e-16       1.223848006499e-13       6.978534011751e-18       5.065428629506e-10       6.194101779126e-11      -3.318989994078e-14 
   15       1.189806807419e-10       3.178394088127e-16       1.303396724578e-13       7.982476830247e-18       4.525719396122e-10       5.573047775218e-11      -2.771417422324e-14 
   16       1.201778371980e-10       3.614242645378e-16       1.383547933273e-13       9.054888544591e-18       4.066840584000e-10       5.040373690193e-11      -1.686126650011e-14 
   17       1.215153697100e-10       4.253612946755e-16       1.465913807763e-13       1.019594376580e-17       3.673217572869e-10       4.578813160541e-11      -6.320524890902e-15 
   18       1.230074185135e-10       5.097512975138e-16       1.552513662323e-13       1.140580342290e-17       3.331620945104e-10       4.177889073271e-11       1.316666301051e-16 
   19       1.246502361548e-10       6.135628462965e-16       1.644896425725e-13       1.268461662393e-17       3.036584661559e-10       3.830576168531e-11       1.714575979044e-15 
   20       1.263727247100e-10       7.351434733442e-16       1.743722387713e-13       1.403251768081e-17       2.776784297185e-10       3.521777264858e-11      -9.687668110820e-16 
   21       1.281788557340e-10       8.744680319441e-16       1.846303800767e-13       1.544963260058e-17       2.548135268807e-10       3.246215531359e-11      -6.022122574228e-15 
   22       1.300646722107e-10       1.031797822924e-15       1.948130694694e-13       1.693607563634e-17       2.345149890186e-10       2.997958870320e-11      -1.084363154759e-14 
   23       1.320361855338e-10       1.207255097146e-15       2.045705227480e-13       1.849195714258e-17       2.165032338670e-10       2.776895830651e-11      -1.407087552926e-14 
   24       1.340790650108e-10       1.401000455817e-15       2.135648004572e-13       2.011738009005e-17       2.003618215998e-10       2.581520741780e-11      -1.486506371768e-14 
   25       1.361887067648e-10       1.614416407189e-15       2.215887610790e-13       2.181244927959e-17       1.859000935985e-10       2.407207444284e-11      -1.354582667552e-14 
   26       1.383486337259e-10       1.849366556228e-15       2.285079451414e-13       2.357726723699e-17       1.728553625112e-10       2.246980281012e-11      -1.100495308030e-14 
   27       1.405618536699e-10       2.107613403390e-15       2.343695590997e-13       2.541194215817e-17       1.610707453240e-10       2.099967869420e-11      -8.332283681557e-15 
   28       1.428267543129e-10       2.390858116531e-15       2.392883260566e-13       2.731658501575e-17       1.503428185457e-10       1.966142597921e-11      -6.640970244469e-15 
   29       1.451488391728e-10       2.700301030791e-15       2.432911826819e-13       2.929131862779e-17       1.406163125395e-10       1.845236783211e-11      -6.072099031289e-15 
   30       1.475221765935e-10       3.036938238192e-15       2.463916110374e-13       3.133627155809e-17       1.317861905277e-10       1.735679830063e-11      -6.405901238011e-15 
   31       1.499298531519e-10       3.401692638138e-15       2.485919512715e-13       3.345157737921e-17       1.236716892136e-10       1.634935503305e-11      -7.321393220973e-15 
   32       1.523754189357e-10       3.795451819184e-15       2.497817094359e-13       3.563738031005e-17       1.162306038753e-10       1.542456006948e-11      -8.427922974956e-15 
   33       1.548604944581e-10       4.219030668988e-15       2.497985105484e-13       3.789383295977e-17       1.094101272507e-10       1.457642837300e-11      -9.229895231084e-15 
   34       1.573792702207e-10       4.673222019038e-15       2.484777555670e-13       4.022109392363e-17       1.031145560369e-10       1.379331247044e-11      -9.268985495936e-15 
   35       1.599324551480e-10       5.159033628951e-15       2.457416959098e-13       4.261932174595e-17       9.731128386377e-11       1.306972023697e-11      -8.677196072822e-15 
   36       1.625163879495e-10       5.677529602227e-15       2.415409496129e-13       4.508867994424e-17       9.195327098993e-11       1.239751156352e-11      -7.822295616357e-15 
   37       1.651237403951e-10       6.229702969118e-15       2.358382703237e-13       4.762933260600e-17       8.697026559013e-11       1.176592096300e-11      -7.085113002023e-15 
