# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.372394280236e+01 
       2.013437232318e-05       1.599052723264e+02 
       3.127867019624e-05       2.445116597561e+02 
       4.247440903451e-05       3.283944192279e+02 
       5.374417827534e-05       4.120139257238e+02 
       6.511099296095e-05       4.956996350449e+02 
       7.659844748270e-05       5.797223068713e+02 
       8.823087449441e-05       6.643229982046e+02 
       1.000335105604e-04       7.497274301539e+02 
       1.120326701213e-04       8.361542417174e+02 
       1.242559293744e-04       9.238203284901e+02 
       1.367323216761e-04       1.012944685628e+03 
       1.494925460608e-04       1.103751388010e+03 
       1.625691904350e-04       1.196472127273e+03 
       1.759969709228e-04       1.291348459963e+03 
       1.898129886899e-04       1.388633928375e+03 
       2.040570053356e-04       1.488596085866e+03 
       2.187717375774e-04       1.591518516478e+03 
       2.340031714211e-04       1.697702836188e+03 
       2.498008952548e-04       1.807470712811e+03 
       2.662184502690e-04       1.921165866422e+03 
       2.833136952002e-04       2.039156069924e+03 
       3.011491805457e-04       2.161835073439e+03 
       3.197925249974e-04       2.289624423170e+03 
       3.393167837950e-04       2.422975078983e+03 
       3.598007949172e-04       2.562368738924e+03 
       3.813294844476e-04       2.708318721164e+03 
       4.039941070762e-04       2.861370237188e+03 
       4.278923916126e-04       3.022099827496e+03 
       4.531285548632e-04       3.191113776726e+03 
       4.798131407256e-04       3.369045039435e+03 
       5.080626356595e-04       3.556548607807e+03 
       5.379988079316e-04       3.754294735693e+03 
       5.697477177126e-04       3.962959861120e+03 
       6.034383500518e-04       4.183214859821e+03 
       6.392008349528e-04       4.415710543121e+03 
       6.771642399587e-04       4.661060444060e+03 
       7.174539518240e-04       4.919821173841e+03 
       7.601887045194e-04       5.192471095716e+03 
       8.054773583407e-04       5.479388475833e+03 
       8.534155840436e-04       5.780830302557e+03 
       9.040826490048e-04       6.096913812501e+03 
       9.575385302735e-04       6.427601979325e+03 
       1.013821583378e-03       6.772694748145e+03 
       1.072946970199e-03       7.131825796211e+03 
       1.134905993731e-03       7.504466463300e+03 
       1.199666408215e-03       7.889933605599e+03 
       1.237685953032e-03       8.114329804411e+03 
       1.267173681764e-03       8.287404503301e+03 
       1.337353100265e-03       8.695935256217e+03 
       1.410112530429e-03       9.114484215143e+03 
       1.485345616560e-03       9.541939592372e+03 
       1.562935173802e-03       9.977148879246e+03 
       1.642756557639e-03       1.041894758613e+04 
       1.724680827698e-03       1.086618321487e+04 
       1.808577573914e-03       1.131773328727e+04 
       1.894317325288e-03       1.177251781359e+04 
       1.981773508839e-03       1.222950898186e+04 
       2.070823964317e-03       1.268773925795e+04 
       2.161352047312e-03       1.314631043106e+04 
       2.253247369975e-03       1.360439847762e+04 
       2.346406236227e-03       1.406125339871e+04 
       2.440731829417e-03       1.451619579588e+04 
       2.536134206954e-03       1.496861084112e+04 
       2.632530150392e-03       1.541794544970e+04 
       2.729842912233e-03       1.586370642545e+04 
       2.828001893341e-03       1.630545679065e+04 
       2.926942277899e-03       1.674281547328e+04 
       3.026604646696e-03       1.717544612950e+04 
       3.126934584318e-03       1.760305552201e+04 
       3.227882291507e-03       1.802538593626e+04 
       3.329402210537e-03       1.844221555975e+04 
