# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.364119679521e+01 
       2.013437232318e-05       1.597261875774e+02 
       3.127867019624e-05       2.442388723632e+02 
       4.247440903451e-05       3.280300776608e+02 
       5.374417827534e-05       4.115601377006e+02 
       6.511099296095e-05       4.951586310773e+02 
       7.659844748270e-05       5.790965293444e+02 
       8.823087449441e-05       6.636151647307e+02 
       1.000335105604e-04       7.489405875578e+02 
       1.120326701213e-04       8.352918175960e+02 
       1.242559293744e-04       9.228861836857e+02 
       1.367323216761e-04       1.011943169355e+03 
       1.494925460608e-04       1.102687396535e+03 
       1.625691904350e-04       1.195351166447e+03 
       1.759969709228e-04       1.290176711454e+03 
       1.898129886899e-04       1.387418318902e+03 
       2.040570053356e-04       1.487344358184e+03 
       2.187717375774e-04       1.590239300078e+03 
       2.340031714211e-04       1.696405714746e+03 
       2.498008952548e-04       1.806166284246e+03 
       2.662184502690e-04       1.919865789937e+03 
       2.833136952002e-04       2.037873092655e+03 
       3.011491805457e-04       2.160583027317e+03 
       3.197925249974e-04       2.288418180345e+03 
       3.393167837950e-04       2.421830451963e+03 
       3.598007949172e-04       2.561302309699e+03 
       3.813294844476e-04       2.707347582612e+03 
       4.039941070762e-04       2.860511630927e+03 
       4.278923916126e-04       3.021370666176e+03 
       4.531285548632e-04       3.190530047171e+03 
       4.798131407256e-04       3.368621097803e+03 
       5.080626356595e-04       3.556296400462e+03 
       5.379988079316e-04       3.754223010432e+03 
       5.697477177126e-04       3.963073470871e+03 
       6.034383500518e-04       4.183514299182e+03 
       6.392008349528e-04       4.416191885439e+03 
       6.771642399587e-04       4.661715844959e+03 
       7.174539518240e-04       4.920640053390e+03 
       7.601887045194e-04       5.193441985949e+03 
       8.054773583407e-04       5.480501320130e+03 
       8.534155840436e-04       5.782078751662e+03 
       9.040826490048e-04       6.098296863423e+03 
       9.575385302735e-04       6.429124275908e+03 
       1.013821583378e-03       6.774365133798e+03 
       1.072946970199e-03       7.133654311566e+03 
       1.134905993731e-03       7.506460747902e+03 
       1.199666408215e-03       7.892096223236e+03 
       1.237685953032e-03       8.116587059016e+03 
       1.267173681764e-03       8.289732593993e+03 
       1.337353100265e-03       8.698422919539e+03 
       1.410112530429e-03       9.117126489480e+03 
       1.485345616560e-03       9.544735725328e+03 
       1.562935173802e-03       9.980102767129e+03 
       1.642756557639e-03       1.042206500454e+04 
       1.724680827698e-03       1.086946775469e+04 
       1.808577573914e-03       1.132118399135e+04 
       1.894317325288e-03       1.177613029685e+04 
       1.981773508839e-03       1.223327903696e+04 
       2.070823964317e-03       1.269166587101e+04 
       2.161352047312e-03       1.315039566574e+04 
       2.253247369975e-03       1.360864451247e+04 
       2.346406236227e-03       1.406565957793e+04 
       2.440731829417e-03       1.452075843423e+04 
       2.536134206954e-03       1.497332578575e+04 
       2.632530150392e-03       1.542281073053e+04 
       2.729842912233e-03       1.586872239084e+04 
       2.828001893341e-03       1.631062380364e+04 
       2.926942277899e-03       1.674813172820e+04 
       3.026604646696e-03       1.718090784617e+04 
       3.126934584318e-03       1.760865912910e+04 
       3.227882291507e-03       1.803112976552e+04 
       3.329402210537e-03       1.844809927721e+04 
       3.431452668786e-03       1.885938194070e+04 
       3.533995543625e-03       1.926481724662e+04 
       3.636995950267e-03       1.966427428748e+04 
       3.740421953082e-03       2.005764157464e+04 
       3.844244300126e-03       2.044483159920e+04 
       3.948436180119e-03       2.082577481110e+04 
       4.052973000729e-03       2.120041577771e+04 
       4.157832186856e-03       2.156871559745e+04 
       4.262992997494e-03       2.193064905554e+04 
       4.368436359704e-03       2.228619769676e+04 
       4.474144718296e-03       2.263536029972e+04 
       4.580101899811e-03       2.297813712540e+04 
       4.686292989519e-03       2.331454278902e+04 
       4.792704220213e-03       2.364459667672e+04 
       4.899322871658e-03       2.396832435925e+04 
       5.006137179679e-03       2.428575742268e+04 
       5.113136253919e-03       2.459693123345e+04 
       5.220310003429e-03       2.490188795082e+04 
       5.327649069297e-03       2.520067075229e+04 
       5.435144763619e-03       2.549332871034e+04 
       5.542789014175e-03       2.577991107684e+04 
       5.650574314243e-03       2.606047370974e+04 
       5.758493677037e-03       2.633506728795e+04 
       5.866540594312e-03       2.660375195541e+04 
       5.974708998718e-03       2.686658612156e+04 
       6.082993229540e-03       2.712362504140e+04 
       6.191388001486e-03       2.737493652846e+04 
       6.299888376236e-03       2.762057034434e+04 
       6.408489736469e-03       2.786059636075e+04 
       6.517187762150e-03       2.809508147260e+04 
       6.625978408838e-03       2.832408050451e+04 
       6.734857887851e-03       2.854765970696e+04 
       6.843822648090e-03       2.876588040627e+04 
       6.952869359376e-03       2.897880640062e+04 
       7.061994897172e-03       2.918650892249e+04 
       7.171196328541e-03       2.938904021188e+04 
       7.280470899244e-03       2.958647345406e+04 
       7.389816021878e-03       2.977885863517e+04 
       7.499229264944e-03       2.996627123226e+04 
       7.608708342784e-03       3.014876746067e+04 
       7.718251106291e-03       3.032641126994e+04 
       7.827855534349e-03       3.049926508178e+04 
       7.937519725913e-03       3.066738358871e+04 
       8.047241892697e-03       3.083083255761e+04 
       8.157020352409e-03       3.098967270171e+04 
       8.266853522487e-03       3.114395082767e+04 
       8.376739914299e-03       3.129373885259e+04 
       8.486678127766e-03       3.143909560938e+04 
       8.596666846377e-03       3.158007406524e+04 
       8.706704832558e-03       3.171672967693e+04 
       8.816790923377e-03       3.184912413030e+04 
       8.926924026550e-03       3.197731237264e+04 
       9.037103116728e-03       3.210134345687e+04 
       9.147327232045e-03       3.222128207618e+04 
       9.257595470906e-03       3.233717571604e+04 
       9.367906988995e-03       3.244908182998e+04 
       9.478260996488e-03       3.255705207326e+04 
       9.588656755457e-03       3.266112569859e+04 
       9.699093577455e-03       3.276138826438e+04 
       9.809570821253e-03       3.285785708208e+04 
       9.920087890742e-03       3.295059558001e+04 
       1.003064423297e-02       3.303965190748e+04 
       1.014123933630e-02       3.312507652559e+04 
       1.025187272874e-02       3.320692672945e+04 
       1.036254397627e-02       3.328523880851e+04 
       1.047325268145e-02       3.336005973041e+04 
       1.058399848198e-02       3.343145664348e+04 
       1.069478104937e-02       3.349945499577e+04 
       1.080560008783e-02       3.356411043267e+04 
       1.091645533304e-02       3.362548328059e+04 
       1.102734655117e-02       3.368359309716e+04 
       1.113827353786e-02       3.373849488255e+04 
       1.124923611732e-02       3.379023220552e+04 
       1.136023414150e-02       3.383884735543e+04 
       1.147126748927e-02       3.388438620414e+04 
       1.158233606570e-02       3.392688755063e+04 
       1.169343980138e-02       3.396639550430e+04 
       1.180457865178e-02       3.400296026537e+04 
       1.191575259669e-02       3.403662367632e+04 
       1.202696163964e-02       3.406740684238e+04 
       1.213820580743e-02       3.409536854827e+04 
       1.224948514968e-02       3.412053858802e+04 
       1.236079973837e-02       3.414296830197e+04 
       1.237685953032e-02       3.414597644473e+04 
       1.247214966748e-02       3.416268928467e+04 
       1.258353505266e-02       3.417975129551e+04 
       1.269495603087e-02       3.419417280156e+04 
       1.280641276012e-02       3.420601227237e+04 
       1.291790541920e-02       3.421529008715e+04 
       1.302943420746e-02       3.422206185731e+04 
       1.314099934461e-02       3.422635600985e+04 
       1.325260107051e-02       3.422819851405e+04 
       1.336423964509e-02       3.422763826945e+04 
       1.347591534813e-02       3.422471024897e+04 
       1.358762847924e-02       3.421944856082e+04 
       1.369937935772e-02       3.421188334414e+04 
       1.381116832253e-02       3.420206577331e+04 
       1.392299573225e-02       3.419000321785e+04 
       1.403486196504e-02       3.417574927995e+04 
       1.414676741865e-02       3.415933231509e+04 
       1.425871251047e-02       3.414082124298e+04 
       1.437069767751e-02       3.412017224474e+04 
       1.448272337650e-02       3.409747088573e+04 
       1.459479008397e-02       3.407274842291e+04 
       1.470689829629e-02       3.404602459627e+04 
       1.481904852984e-02       3.401732370318e+04 
       1.493124132110e-02       3.398671632703e+04 
       1.504347722680e-02       3.395418674481e+04 
       1.515575682410e-02       3.391981105318e+04 
