# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.019201454174e-06      -1.300937755146e-03      -9.762232933548e-04      -9.762233174435e-04      -1.302098007348e-03      -1.300922817036e-03      -9.763331166940e-04       4.322642536094e-01       4.321109021909e-01 
       2.013437232318e-05      -6.469516689549e-03      -4.865039065616e-03      -4.865039663670e-03      -6.474988681577e-03      -6.469144074392e-03      -4.865582083145e-03       4.322603692386e-01       4.321074908124e-01 
       3.127867019624e-05      -1.555452582463e-02      -1.174090769401e-02      -1.174091117472e-02      -1.556641396806e-02      -1.555235874604e-02      -1.174219991411e-02       4.322535135656e-01       4.321014690649e-01 
       4.247440903451e-05      -2.852706033287e-02      -2.164973388868e-02      -2.164974571214e-02      -2.854550329381e-02      -2.851972308943e-02      -2.165206838732e-02       4.322436517545e-01       4.320928032465e-01 
       5.374417827534e-05      -4.534892080316e-02      -3.466180942487e-02      -3.466183969239e-02      -4.537120317183e-02      -4.533021477051e-02      -3.466544607954e-02       4.322307292895e-01       4.320814408546e-01 
       6.511099296095e-05      -6.597050693236e-02      -5.087274722535e-02      -5.087281231888e-02      -6.599011904985e-02      -6.593048065728e-02      -5.087790153976e-02       4.322146669448e-01       4.320673055803e-01 
       7.659844748270e-05      -9.032799162303e-02      -7.040479870547e-02      -7.040492313389e-02      -9.033362068613e-02      -9.025194371267e-02      -7.041162939793e-02       4.321953710081e-01       4.320503073468e-01 
       8.823087449441e-05      -1.183397129635e-01      -9.340857800182e-02      -9.340879651984e-02      -1.183141478805e-01      -1.182071117833e-01      -9.341717300810e-02       4.321727249928e-01       4.320303338951e-01 
       1.000335105604e-04      -1.499017105307e-01      -1.200652292402e-01      -1.200655893130e-01      -1.498206460182e-01      -1.496850169288e-01      -1.200755897515e-01       4.321465900890e-01       4.320072510431e-01 
       1.120326701213e-04      -1.848823214151e-01      -1.505890804417e-01      -1.505896451388e-01      -1.847130494329e-01      -1.845457033199e-01      -1.506011025642e-01       4.321168038421e-01       4.319809011593e-01 
       1.242559293744e-04      -2.231157547689e-01      -1.852308382474e-01      -1.852316896766e-01      -2.228157264266e-01      -2.226136776815e-01      -1.852442918462e-01       4.320831775746e-01       4.319511003204e-01 
       1.367323216761e-04      -2.643945579340e-01      -2.242813917517e-01      -2.242826351702e-01      -2.639098086325e-01      -2.636702449909e-01      -2.242958960131e-01       4.320454980450e-01       4.319176396283e-01 
       1.494925460608e-04      -3.084608750039e-01      -2.680763001455e-01      -2.680780688362e-01      -3.077243358378e-01      -3.074446605201e-01      -2.680912952968e-01       4.320035215353e-01       4.318802788593e-01 
       1.625691904350e-04      -3.549965192403e-01      -3.170010630991e-01      -3.170035242571e-01      -3.539261973726e-01      -3.536040795169e-01      -3.170157778247e-01       4.319569746900e-01       4.318387468100e-01 
       1.759969709228e-04      -4.036118362684e-01      -3.714972786732e-01      -3.715006405047e-01      -4.021089020766e-01      -4.017423363887e-01      -3.715106926935e-01       4.319055504755e-01       4.317927366205e-01 
       1.898129886899e-04      -4.538334683226e-01      -4.320698210040e-01      -4.320743412284e-01      -4.517803222472e-01      -4.513676984989e-01      -4.320806222759e-01       4.318489076512e-01       4.317419044765e-01 
       2.040570053356e-04      -5.050913454688e-01      -4.992951793678e-01      -4.993011755313e-01      -5.023497023842e-01      -5.018898856704e-01      -4.993017156016e-01       4.317866658887e-01       4.316858638182e-01 
       2.187717375774e-04      -5.567052831732e-01      -5.738311338264e-01      -5.738389956744e-01      -5.531144651916e-01      -5.526068867316e-01      -5.738313579736e-01       4.317184046005e-01       4.316241830734e-01 
       2.340031714211e-04      -6.078721138088e-01      -6.564279534460e-01      -6.564381579087e-01      -6.032476548544e-01      -6.026924125955e-01      -6.564193633080e-01       4.316436590920e-01       4.315563805348e-01 
       2.498008952548e-04      -6.576544015268e-01      -7.479413370112e-01      -7.479544662161e-01      -6.517873164192e-01      -6.511852850906e-01      -7.479209093185e-01       4.315619186125e-01       4.314819209269e-01 
       2.662184502690e-04      -7.049727160764e-01      -8.493473283625e-01      -8.493640913928e-01      -6.976296799121e-01      -6.969826255651e-01      -8.493114485056e-01       4.314726218934e-01       4.314002092727e-01 
       2.833136952002e-04      -7.486036744625e-01      -9.617594739735e-01      -9.617807326326e-01      -7.395287968359e-01      -7.388394902778e-01      -9.617038629037e-01       4.313751555418e-01       4.313105874363e-01 
       3.011491805457e-04      -7.871876986899e-01      -1.086448489580e+00      -1.086475289894e+00      -7.761061621796e-01      -7.753784875417e-01      -1.086368131815e+00       4.312688503126e-01       4.312123284263e-01 
       3.197925249974e-04      -8.192501641838e-01      -1.224864727441e+00      -1.224898336452e+00      -8.058749430979e-01      -8.051139848566e-01      -1.224753803570e+00       4.311529787152e-01       4.311046320163e-01 
       3.393167837950e-04      -8.432423659793e-01      -1.378663716496e+00      -1.378705666839e+00      -8.272844834164e-01      -8.264965780384e-01      -1.378515548013e+00       4.310267519969e-01       4.309866198831e-01 
       3.598007949172e-04      -8.576078358929e-01      -1.549735034919e+00      -1.549787176719e+00      -8.387916597123e-01      -8.379843915405e-01      -1.549542048671e+00       4.308893179585e-01       4.308573319800e-01 
       3.813294844476e-04      -8.608810466122e-01      -1.740234710104e+00      -1.740299270021e+00      -8.389659575988e-01      -8.381480748750e-01      -1.739988432164e+00       4.307397582248e-01       4.307157231271e-01 
       4.039941070762e-04      -8.518264048770e-01      -1.952621244711e+00      -1.952700899095e+00      -8.266342257689e-01      -8.258154413830e-01      -1.952312341826e+00       4.305770855281e-01       4.305606608284e-01 
       4.278923916126e-04      -8.296162579511e-01      -2.189695233831e+00      -2.189793184994e+00      -8.010679216795e-01      -8.002585754378e-01      -2.189313605712e+00       4.304002392538e-01       4.303909232734e-01 
       4.531285548632e-04      -7.940511331926e-01      -2.454642314531e+00      -2.454762382252e+00      -7.622091390015e-01      -7.614196979420e-01      -2.454177259760e+00       4.302080840383e-01       4.302052029329e-01 
       4.798131407256e-04      -7.458032285714e-01      -2.751078840476e+00      -2.751225559697e+00      -7.109201129425e-01      -7.101604768260e-01      -2.750519295385e+00       4.299993977635e-01       4.300021029702e-01 
       5.080626356595e-04      -6.866554873914e-01      -3.083099403966e+00      -3.083278129702e+00      -6.492233317042e-01      -6.485019863222e-01      -3.082434252444e+00       4.297728666394e-01       4.297801447674e-01 
       5.379988079316e-04      -6.196811267379e-01      -3.455324668631e+00      -3.455541676810e+00      -5.804754132606e-01      -5.797984650909e-01      -3.454543092056e+00       4.295270690096e-01       4.295377685279e-01 
       5.697477177126e-04      -5.492859969512e-01      -3.872947511122e+00      -3.873210100652e+00      -5.093907140298e-01      -5.087609314762e-01      -3.872039335016e+00       4.292604592243e-01       4.292733378205e-01 
       6.034383500518e-04      -4.810083566773e-01      -4.341774733670e+00      -4.342091321101e+00      -4.418074962715e-01      -4.412235419943e-01      -4.340730680982e+00       4.289713455791e-01       4.289851404089e-01 
       6.392008349528e-04      -4.209667475758e-01      -4.868261012787e+00      -4.868641184416e+00      -3.840860697711e-01      -3.835421751792e-01      -4.867072715428e+00       4.286578684226e-01       4.286713880288e-01 
       6.771642399587e-04      -3.748875803962e-01      -5.459531054670e+00      -5.459985596803e+00      -3.420673236045e-01      -3.415536809698e-01      -5.458190699641e+00       4.283179828806e-01       4.283302141232e-01 
       7.174539518240e-04      -3.467352965169e-01      -6.123385584598e+00      -6.123926469119e+00      -3.196283045356e-01      -3.191323960251e-01      -6.121885045853e+00       4.279494515754e-01       4.279596677928e-01 
       7.601887045194e-04      -3.371588376037e-01      -6.868286764613e+00      -6.868927061772e+00      -3.170652521918e-01      -3.165741441770e-01      -6.866616143754e+00       4.275498610749e-01       4.275577101583e-01 
       8.054773583407e-04      -3.422169284639e-01      -7.703319088042e+00      -7.704072795652e+00      -3.297935853434e-01      -3.292968781646e-01      -7.701464763380e+00       4.271166760235e-01       4.271222219526e-01 
       8.534155840436e-04      -3.530705240584e-01      -8.638122583825e+00      -8.639004459564e+00      -3.480885952540e-01      -3.475813146695e-01      -8.636065188545e+00       4.266473282673e-01       4.266510209099e-01 
       9.040826490048e-04      -3.573813078250e-01      -9.682797561320e+00      -9.683822851849e+00      -3.586234104511e-01      -3.581077754936e-01      -9.680510401916e+00       4.261393555399e-01       4.261419149469e-01 
       9.575385302735e-04      -3.427880597344e-01      -1.084778160838e+01      -1.084896578489e+01      -3.481683307422e-01      -3.476533777283e-01      -1.084523034010e+01       4.255905590861e-01       4.255927842118e-01 
       1.013821583378e-03      -3.019239551592e-01      -1.214370308741e+01      -1.214506166621e+01      -3.088564949567e-01      -3.083551559943e-01      -1.214084724526e+01       4.249991664682e-01       4.250017099312e-01 
       1.072946970199e-03      -2.371638262217e-01      -1.358121693389e+01      -1.358276539413e+01      -2.430985941826e-01      -2.426230201539e-01      -1.357801323104e+01       4.243639273365e-01       4.243671056924e-01 
       1.134905993731e-03      -1.622879654718e-01      -1.517083279253e+01      -1.517258664681e+01      -1.652324695848e-01      -1.647896260177e-01      -1.516723916496e+01       4.236841590249e-01       4.236878747755e-01 
       1.199666408215e-03      -9.852471314157e-02      -1.692274270417e+01      -1.692471791624e+01      -9.733542850799e-02      -9.692533135605e-02      -1.691872133158e+01       4.229596458783e-01       4.229634687929e-01 
       1.237685953032e-03      -7.495033713470e-02      -1.799405684792e+01      -1.799616529139e+01      -7.121964810544e-02      -7.082608713450e-02      -1.798977731640e+01       4.225281507343e-01       4.225317893715e-01 
       1.267173681764e-03      -6.490174020097e-02      -1.884666197093e+01      -1.884887556965e+01      -5.923786520476e-02      -5.885552871943e-02      -1.884217920336e+01       4.221905339081e-01       4.221939235950e-01 
       1.337353100265e-03      -6.681034114414e-02      -2.095168851450e+01      -2.095415963214e+01      -5.686517371268e-02      -5.650475058066e-02      -2.094671130516e+01       4.213771883412e-01       4.213797648945e-01 
       1.410112530429e-03      -8.994727463525e-02      -2.324618933012e+01      -2.324894037467e+01      -7.626334888026e-02      -7.592097708135e-02      -2.324067978683e+01       4.205201360950e-01       4.205218639417e-01 
       1.485345616560e-03      -1.059099923516e-01      -2.573771747584e+01      -2.574077557727e+01      -8.953115204041e-02      -8.920394827476e-02      -2.573162961488e+01       4.196201150257e-01       4.196212960820e-01 
       1.562935173802e-03      -8.904299938562e-02      -2.843296058525e+01      -2.843635892559e+01      -7.189213808636e-02      -7.157486978969e-02      -2.842624273068e+01       4.186781797279e-01       4.186792557406e-01 
       1.642756557639e-03      -3.484781010646e-02      -3.133772021930e+01      -3.134149910031e+01      -1.978724462789e-02      -1.947196691819e-02      -3.133032335486e+01       4.176957891478e-01       4.176970733264e-01 
       1.724680827698e-03       3.427611642812e-02      -3.445691760746e+01      -3.446112537845e+01       4.426806514683e-02       4.458574646878e-02      -3.444880540476e+01       4.166747769856e-01       4.166762880227e-01 
       1.808577573914e-03       8.350395119959e-02      -3.779462286436e+01      -3.779931588128e+01       8.695213019307e-02       8.726431332877e-02      -3.778577587034e+01       4.156172091412e-01       4.156187149363e-01 
       1.894317325288e-03       9.206801973178e-02      -4.135410064294e+01      -4.135934290972e+01       9.037892905334e-02       9.066522479539e-02      -4.134451127964e+01       4.145251972916e-01       4.145264264139e-01 
       1.981773508839e-03       7.084905029413e-02      -4.513786819112e+01      -4.514373004821e+01       6.812210702818e-02       6.836477211173e-02      -4.512752924711e+01       4.134007821791e-01       4.134016373458e-01 
       2.070823964317e-03       5.411835113871e-02      -4.914775753620e+01      -4.915431448925e+01       5.505751377581e-02       5.526242581341e-02      -4.913665385113e+01       4.122459251765e-01       4.122465368548e-01 
       2.161352047312e-03       6.972328713981e-02      -5.338498419789e+01      -5.339231505748e+01       7.703638113606e-02       7.723731009056e-02      -5.337309389722e+01       4.110626093246e-01       4.110632022385e-01 
       2.253247369975e-03       1.134267211475e-01      -5.785021283788e+01      -5.785839822825e+01       1.268529959563e-01       1.270860228407e-01      -5.783751725921e+01       4.098528936040e-01       4.098535940537e-01 
       2.346406236227e-03       1.524924430621e-01      -6.254362029941e+01      -6.255274163136e+01       1.702862437053e-01       1.705519516094e-01      -6.253011267960e+01       4.086188702741e-01       4.086196227506e-01 
       2.440731829417e-03       1.574925023848e-01      -6.746495707774e+01      -6.747509618152e+01       1.787339323771e-01       1.789871185226e-01      -6.745064089708e+01       4.073625653122e-01       4.073632185371e-01 
       2.536134206954e-03       1.325162027549e-01      -7.261360121670e+01      -7.262484054208e+01       1.575715146293e-01       1.577595960989e-01      -7.259847909733e+01       4.060858374399e-01       4.060863038148e-01 
       2.632530150392e-03       1.126708614412e-01      -7.798860930941e+01      -7.800103363867e+01       1.410429100743e-01       1.411624928497e-01      -7.797267443461e+01       4.047903879698e-01       4.047907220852e-01 
       2.729842912233e-03       1.293376284546e-01      -8.358876112282e+01      -8.360245918307e+01       1.573610209246e-01       1.574710166667e-01      -8.357200031734e+01       4.034778278403e-01       4.034781598634e-01 
       2.828001893341e-03       1.777546338788e-01      -8.941259367628e+01      -8.942766104767e+01       1.994652958054e-01       1.996303761551e-01      -8.939500200115e+01       4.021497176660e-01       4.021501216082e-01 
       2.926942277899e-03       2.213948151778e-01      -9.545844829134e+01      -9.547498937252e+01       2.328149209782e-01       2.330308843071e-01      -9.544004079911e+01       4.008076111209e-01       4.008080433408e-01 
       3.026604646696e-03       2.298270952702e-01      -1.017244888613e+02      -1.017426195886e+02       2.327854101601e-01       2.329724841645e-01      -1.017053002650e+02       3.994529340660e-01       3.994532948354e-01 
       3.126934584318e-03       2.102093451905e-01      -1.082087432014e+02      -1.082285917467e+02       2.114679719416e-01       2.115545708535e-01      -1.081888159505e+02       3.980869929647e-01       3.980872360209e-01 
       3.227882291507e-03       1.980855108152e-01      -1.149091139878e+02      -1.149308221803e+02       2.040693167363e-01       2.040830532913e-01      -1.148884907698e+02       3.967109447359e-01       3.967111190645e-01 
       3.329402210537e-03       2.173264323524e-01      -1.218234061892e+02      -1.218471283036e+02       2.295055402187e-01       2.295630235620e-01      -1.218021336340e+02       3.953258791538e-01       3.953260685577e-01 
       3.431452668786e-03       2.538944251495e-01      -1.289493541551e+02      -1.289752558728e+02       2.692251681007e-01       2.694155326837e-01      -1.289274947214e+02       3.939328860309e-01       3.939331210969e-01 
       3.533995543625e-03       2.731725441707e-01      -1.362846160428e+02      -1.363128731315e+02       2.883398695784e-01       2.886245816910e-01      -1.362622532005e+02       3.925329691272e-01       3.925332066895e-01 
       3.636995950267e-03       2.610086249443e-01      -1.438268132353e+02      -1.438576079955e+02       2.750274234088e-01       2.752757678366e-01      -1.438040411560e+02       3.911270812069e-01       3.911272645306e-01 
       3.740421953082e-03       2.406077601919e-01      -1.515735123458e+02      -1.516070335232e+02       2.529688605845e-01       2.530983908137e-01      -1.515504235261e+02       3.897160331707e-01       3.897161584275e-01 
       3.844244300126e-03       2.448040492395e-01      -1.595222616469e+02      -1.595587020069e+02       2.527267503471e-01       2.527877212620e-01      -1.594989420648e+02       3.883005962694e-01       3.883007122621e-01 
       3.948436180119e-03       2.757880478621e-01      -1.676705839720e+02      -1.677101400138e+02       2.760040756778e-01       2.761033614891e-01      -1.676471229184e+02       3.868815038860e-01       3.868816528338e-01 
       4.052973000729e-03       3.004529164436e-01      -1.760159737730e+02      -1.760588476147e+02       2.949862145270e-01       2.951402942572e-01      -1.759924764364e+02       3.854594431124e-01       3.854596146549e-01 
       4.157832186856e-03       4.804543122902e-01      -1.845559208642e+02      -1.846023205046e+02       2.871523746808e-01       2.872582193232e-01      -1.845324734693e+02       3.840351657353e-01       3.840352329812e-01 
       4.262992997494e-03       4.786695818565e-01      -1.932879094682e+02      -1.933380510600e+02       2.634040397589e-01       2.633804370596e-01      -1.932646634230e+02       3.826090433236e-01       3.826090899371e-01 
       4.368436359704e-03       4.768833339571e-01      -2.022093965349e+02      -2.022635084322e+02       2.553988111200e-01       2.553273632067e-01      -2.021864772839e+02       3.811816728283e-01       3.811817094930e-01 
       4.474144718296e-03       4.750962288237e-01      -2.113178708555e+02      -2.113761932734e+02       2.772468669161e-01       2.773146010856e-01      -2.112954123741e+02       3.797535727628e-01       3.797536165101e-01 
       4.580101899811e-03       4.733087711266e-01      -2.206107871227e+02      -2.206735759837e+02       3.080214400546e-01       3.083006230405e-01      -2.205889408464e+02       3.783251702730e-01       3.783252244230e-01 
       4.686292989519e-03       4.715214790691e-01      -2.300856353228e+02      -2.301531623140e+02       3.163992104435e-01       3.167241328727e-01      -2.300645718729e+02       3.768969148594e-01       3.768969668371e-01 
       4.792704220213e-03       4.697348394689e-01      -2.397399032548e+02      -2.398124558975e+02       2.976836338263e-01       2.978031972360e-01      -2.397198081782e+02       3.754691963258e-01       3.754692340377e-01 
       4.899322871658e-03       4.679493350542e-01      -2.495710893827e+02      -2.496489700638e+02       2.785213179060e-01       2.783813013943e-01      -2.495521572454e+02       3.740423647621e-01       3.740423907144e-01 
       5.006137179679e-03       4.661654035763e-01      -2.595767076348e+02      -2.596602323659e+02       2.841792097674e-01       2.840047848533e-01      -2.595591411935e+02       3.726167459649e-01       3.726167729975e-01 
       5.113136253919e-03       4.643834069441e-01      -2.697542812109e+02      -2.698437774714e+02       3.086801730645e-01       3.087380629956e-01      -2.697382946673e+02       3.711926392866e-01       3.711926747738e-01 
       5.220310003429e-03       4.626036923917e-01      -2.801013627276e+02      -2.801971678882e+02       3.237992784464e-01       3.240987887376e-01      -2.800871840084e+02       3.697703450487e-01       3.697703831912e-01 
       5.327649069297e-03       4.608265514561e-01      -2.906155062855e+02      -2.907179664956e+02       3.145751561826e-01       3.148581936152e-01      -2.906033739587e+02       3.683501180778e-01       3.683501484355e-01 
       5.435144763619e-03       4.590523154056e-01      -3.012942981771e+02      -3.014037669683e+02       2.969232698687e-01       2.969624902506e-01      -3.012844552535e+02       3.669322052003e-01       3.669322257114e-01 
       5.542789014175e-03       4.572812697021e-01      -3.121353245527e+02      -3.122521647851e+02       2.962948083007e-01       2.961505894481e-01      -3.121280185670e+02       3.655168122385e-01       3.655168308578e-01 
       5.650574314243e-03       4.555136936572e-01      -3.231362160628e+02      -3.232607973070e+02       3.152777789121e-01       3.152113631183e-01      -3.231317005644e+02       3.641041612591e-01       3.641041854600e-01 
       5.758493677037e-03       4.537497569679e-01      -3.342945703149e+02      -3.344272761352e+02       3.310831810775e-01       3.312394065153e-01      -3.342931151265e+02       3.626944116991e-01       3.626944396498e-01 
       5.866540594312e-03       4.519896915894e-01      -3.456080525221e+02      -3.457492775612e+02       3.252512793067e-01       3.255008161162e-01      -3.456099405706e+02       3.612877610596e-01       3.612877849321e-01 
       5.974708998718e-03       4.502337073691e-01      -3.570743232634e+02      -3.572244768990e+02       3.071958000167e-01       3.073201341879e-01      -3.570798491333e+02       3.598843646258e-01       3.598843808825e-01 
       6.082993229540e-03       4.484819626196e-01      -3.686910278457e+02      -3.688505383137e+02       3.016563885115e-01       3.016275241591e-01      -3.687004987570e+02       3.584843323340e-01       3.584843458359e-01 
       6.191388001486e-03       4.467346831231e-01      -3.804559122479e+02      -3.806252207004e+02       3.165959482396e-01       3.165931501404e-01      -3.804696457434e+02       3.570878410394e-01       3.570878584973e-01 
       6.299888376236e-03       4.449919093759e-01      -3.923666010043e+02      -3.925461732350e+02       3.328855456606e-01       3.330402259567e-01      -3.923849392476e+02       3.556949365109e-01       3.556949581940e-01 
       6.408489736469e-03       4.432538282204e-01      -4.044208809732e+02      -4.046111953866e+02       3.289100513543e-01       3.291236964582e-01      -4.044441809888e+02       3.543057820228e-01       3.543058020459e-01 
       6.517187762150e-03       4.415205999551e-01      -4.166165358688e+02      -4.168180838397e+02       3.084082696240e-01       3.084852808916e-01      -4.166451657331e+02       3.529205028745e-01       3.529205170334e-01 
       6.625978408838e-03       4.397922853997e-01      -4.289512705326e+02      -4.291645629337e+02       2.958226620115e-01       2.957350905980e-01      -4.289856115247e+02       3.515391335900e-01       3.515391444954e-01 
       6.734857887851e-03       4.380690144272e-01      -4.414228967429e+02      -4.416484549597e+02       3.052928385436e-01       3.052138863179e-01      -4.414633374208e+02       3.501617724648e-01       3.501617858292e-01 
       6.843822648090e-03       4.363508532243e-01      -4.540292040602e+02      -4.542675625443e+02       3.231084007897e-01       3.231637597160e-01      -4.540761469374e+02       3.487884821225e-01       3.487884994265e-01 
       6.952869359376e-03       4.346378751222e-01      -4.667680205437e+02      -4.670197240065e+02       3.260209239910e-01       3.261009236958e-01      -4.668218812685e+02       3.474193344520e-01       3.474193513298e-01 
