# Matter power spectrum P(k) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.017768204720e-06       7.369090115730e+01 
       2.013117065551e-05       1.598340214283e+02 
       3.127368623152e-05       2.444037854677e+02 
       4.246761821429e-05       3.282515884598e+02 
       5.373554514272e-05       4.118380645601e+02 
       6.510047082172e-05       4.954930191139e+02 
       7.658597794245e-05       5.794876031270e+02 
       8.821638686582e-05       6.640633133130e+02 
       1.000169211334e-04       7.494463586611e+02 
       1.120138812866e-04       8.358559151986e+02 
       1.242348285901e-04       9.235094794995e+02 
       1.367087802636e-04       1.012626701038e+03 
       1.494664178164e-04       1.103432390128e+03 
       1.625403100413e-04       1.196159048032e+03 
       1.759651521417e-04       1.291049133183e+03 
       1.897780223194e-04       1.388357178469e+03 
       2.040186569110e-04       1.488351839043e+03 
       2.187297447984e-04       1.591317908334e+03 
       2.339572412864e-04       1.697558331182e+03 
       2.497507008914e-04       1.807396220635e+03 
       2.661636274439e-04       1.921176869137e+03 
       2.832538385149e-04       2.039269735518e+03 
       3.010838393218e-04       2.162070364601e+03 
       3.197211988802e-04       2.290002188124e+03 
       3.392389181229e-04       2.423518118665e+03 
       3.597157759348e-04       2.563101835803e+03 
       3.812366344790e-04       2.709268630194e+03 
       4.038926798210e-04       2.862565616845e+03 
       4.277815677867e-04       3.023571136075e+03 
       4.530074384697e-04       3.192893069758e+03 
       4.796807563165e-04       3.371165815302e+03 
       5.079179270207e-04       3.559045587960e+03 
       5.378406386927e-04       3.757203771533e+03 
       5.695748744280e-04       3.966317988352e+03 
       6.032495483134e-04       4.187060674531e+03 
       6.389947290495e-04       4.420085000410e+03 
       6.769394364803e-04       4.666008249856e+03 
       7.172090273991e-04       4.925392766837e+03 
       7.599222275715e-04       5.198725199544e+03 
       8.051879143593e-04       5.486394856433e+03 
       8.531018034307e-04       5.788672309504e+03 
       9.037432361260e-04       6.105689928073e+03 
       9.571722920002e-04       6.437425812498e+03 
       1.013427455223e-03       6.783692872879e+03 
       1.072524038191e-03       7.144134401346e+03 
       1.134453510456e-03       7.518226586208e+03 
       1.199183801970e-03       7.905288819824e+03 
       1.237436309153e-03       8.132135256400e+03 
       1.266660558409e-03       8.304499905808e+03 
       1.336809238052e-03       8.714919676084e+03 
       1.409537868692e-03       9.135513996179e+03 
       1.484740239600e-03       9.565180858369e+03 
       1.562299291522e-03       1.000277667396e+04 
       1.642090484503e-03       1.044714101513e+04 
       1.723984961446e-03       1.089711945938e+04 
       1.807852375162e-03       1.135158326910e+04 
       1.893563298875e-03       1.180944610395e+04 
       1.980991187410e-03       1.226967680239e+04 
       2.070013894393e-03       1.273130758019e+04 
       2.160514777863e-03       1.319343922771e+04 
       2.252383443363e-03       1.365524305274e+04 
       2.345516181282e-03       1.411596088255e+04 
       2.439816156371e-03       1.457490343094e+04 
       2.535193403933e-03       1.503144780622e+04 
       2.631564681181e-03       1.548503509510e+04 
       2.728853215055e-03       1.593516639874e+04 
       2.826988380429e-03       1.638139848151e+04 
       2.925905335651e-03       1.682333967847e+04 
       3.025544636276e-03       1.726064439007e+04 
       3.125851842553e-03       1.769301129855e+04 
       3.226777131995e-03       1.812017635649e+04 
       3.328274924875e-03       1.854191187265e+04 
       3.430303527867e-03       1.895802356658e+04 
       3.532824798954e-03       1.936834435675e+04 
       3.635803835260e-03       1.977273610027e+04 
       3.739208684334e-03       2.017108062228e+04 
       3.843010078631e-03       2.056328380150e+04 
       3.947181192420e-03       2.094927000803e+04 
       4.051697420008e-03       2.132897684940e+04 
       4.156536173955e-03       2.170235913561e+04 
       4.261676701857e-03       2.206938785273e+04 
       4.367099920266e-03       2.243003888253e+04 
       4.472788264292e-03       2.278430444246e+04 
       4.578725551528e-03       2.313218241590e+04 
       4.684896858992e-03       2.347367989490e+04 
       4.791288411857e-03       2.380881275214e+04 
       4.897887482858e-03       2.413760519939e+04 
       5.004682301321e-03       2.446008011994e+04 
       5.111661970888e-03       2.477627360183e+04 
       5.218816395059e-03       2.508622083199e+04 
       5.326136209784e-03       2.538996028037e+04 
       5.433612722403e-03       2.568754327636e+04 
       5.541237856288e-03       2.597901448461e+04 
       5.649004100628e-03       2.626442102939e+04 
       5.756904464843e-03       2.654381764208e+04 
       5.864932437163e-03       2.681725936927e+04 
       5.973081946959e-03       2.708480188045e+04 
       6.081347330465e-03       2.734649712527e+04 
       6.189723299550e-03       2.760241216622e+04 
       6.298204913243e-03       2.785259358444e+04 
       6.406787551753e-03       2.809710877598e+04 
       6.515466892733e-03       2.833602732057e+04 
       6.624238889588e-03       2.856939749620e+04 
       6.733099751614e-03       2.879728357061e+04 
       6.842045925821e-03       2.901974922402e+04 
       6.951074080257e-03       2.923685308497e+04 
       7.060181088721e-03       2.944866875425e+04 
       7.169364016712e-03       2.965524276976e+04 
       7.278620108523e-03       2.985665171090e+04 
       7.387946775368e-03       3.005294377232e+04 
       7.497341584446e-03       3.024419067552e+04 
       7.606802248869e-03       3.043044897950e+04 
       7.716326618374e-03       3.061178775141e+04 
       7.825912670749e-03       3.078825651678e+04 
       7.935558503913e-03       3.095992088819e+04 
       8.045262328602e-03       3.112684234957e+04 
       8.155022461594e-03       3.128907836200e+04 
       8.264837319447e-03       3.144667576473e+04 
       8.374705412693e-03       3.159971318359e+04 
       8.484625340461e-03       3.174823169033e+04 
       8.594595785482e-03       3.189231289210e+04 
       8.704615509463e-03       3.203198851168e+04 
       8.814683348788e-03       3.216732792597e+04 
       8.924798210516e-03       3.229837947527e+04 
       9.034959068675e-03       3.242520455443e+04 
       9.145164960802e-03       3.254785044227e+04 
       9.255414984729e-03       3.266639390217e+04 
       9.365708295591e-03       3.278085905995e+04 
       9.476044103039e-03       3.289131284690e+04 
       9.586421668641e-03       3.299780050205e+04 
       9.696840303463e-03       3.310039997391e+04 
       9.807299365809e-03       3.319913062366e+04 
       9.917798259121e-03       3.329405641981e+04 
       1.002833643001e-02       3.338522266226e+04 
       1.013891336643e-02       3.347269229956e+04 
       1.024952859596e-02       3.355650437657e+04 
       1.036018168421e-02       3.363669880275e+04 
       1.047087223335e-02       3.371334956956e+04 
       1.058159988071e-02       3.378648421785e+04 
       1.069236429745e-02       3.385616138161e+04 
       1.080316518742e-02       3.392243177455e+04 
       1.091400228596e-02       3.398532053685e+04 
       1.102487535892e-02       3.404489163414e+04 
       1.113578420160e-02       3.410118280774e+04 
       1.124672863791e-02       3.415424337948e+04 
       1.135770851948e-02       3.420411367512e+04 
       1.146872372489e-02       3.425082257529e+04 
       1.157977415889e-02       3.429445314302e+04 
       1.169085975180e-02       3.433501063286e+04 
       1.180198045879e-02       3.437256932072e+04 
       1.191313625937e-02       3.440713673018e+04 
       1.202432715680e-02       3.443877212152e+04 
       1.213555317760e-02       3.446751926840e+04 
       1.224681437110e-02       3.449341403162e+04 
       1.235811080903e-02       3.451650858083e+04 
       1.237436309153e-02       3.451963638077e+04 
       1.246944258512e-02       3.453682038587e+04 
       1.258080981472e-02       3.455441271687e+04 
       1.269221263455e-02       3.456931093040e+04 
       1.280365120235e-02       3.458155859864e+04 
       1.291512569667e-02       3.459118761656e+04 
       1.302663631659e-02       3.459825193798e+04 
       1.313818328155e-02       3.460277010380e+04 
       1.324976683118e-02       3.460479212916e+04 
       1.336138722513e-02       3.460434840095e+04 
       1.347304474295e-02       3.460147826044e+04 
       1.358473968398e-02       3.459622601994e+04 
       1.369647236726e-02       3.458860782529e+04 
       1.380824313151e-02       3.457867688270e+04 
       1.392005233503e-02       3.456644973460e+04 
       1.403190035574e-02       3.455199363029e+04 
       1.414378759114e-02       3.453531515831e+04 
       1.425571445833e-02       3.451646801530e+04 
       1.436768139409e-02       3.449546434695e+04 
       1.447968885487e-02       3.447234326449e+04 
       1.459173731692e-02       3.444715366534e+04 
       1.470382727637e-02       3.441990980033e+04 
       1.481595924932e-02       3.439066312603e+04 
       1.492813377198e-02       3.435941493986e+04 
       1.504035140080e-02       3.432624784104e+04 
       1.515261271265e-02       3.429112970922e+04 
       1.526491830498e-02       3.425415435668e+04 
       1.537726879602e-02       3.421531574690e+04 
       1.548966482496e-02       3.417465905861e+04 
       1.560210705222e-02       3.413220106067e+04 
       1.571459615965e-02       3.408800464824e+04 
       1.582713285081e-02       3.404204316692e+04 
       1.593971785121e-02       3.399438110635e+04 
       1.605235190863e-02       3.394506956910e+04 
       1.616503579341e-02       3.389410124575e+04 
       1.627777029876e-02       3.384151026117e+04 
       1.639055624109e-02       3.378734124201e+04 
       1.650339446038e-02       3.373161540693e+04 
       1.661628582054e-02       3.367434352247e+04 
       1.672923120979e-02       3.361559746824e+04 
