# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.017768204720e-06      -1.300920748472e-03      -9.762107185063e-04      -9.762107426110e-04      -1.300905661127e-03      -1.301107785275e-03      -9.763204129485e-04       4.322098401470e-01       4.320616534078e-01 
       2.013117065551e-05      -6.469427840878e-03      -4.864976938570e-03      -4.864977537023e-03      -6.469053752456e-03      -6.474063966304e-03      -4.865519475334e-03       4.322061437476e-01       4.320584050914e-01 
       3.127368623152e-05      -1.555428924042e-02      -1.174075639752e-02      -1.174075988061e-02      -1.555211656998e-02      -1.558120574749e-02      -1.174204814327e-02       4.321996087174e-01       4.320526598420e-01 
       4.246761821429e-05      -2.852656201639e-02      -2.164944814701e-02      -2.164945997837e-02      -2.851920443264e-02      -2.861767126460e-02      -2.165178357947e-02       4.321902067913e-01       4.320443906450e-01 
       5.373554514272e-05      -4.534799058447e-02      -3.466133428201e-02      -3.466136456952e-02      -4.532923136474e-02      -4.558015174370e-02      -3.466497619495e-02       4.321778827437e-01       4.320335443618e-01 
       6.510047082172e-05      -6.596890211671e-02      -5.087201461447e-02      -5.087207975090e-02      -6.592876077769e-02      -6.646532626610e-02      -5.087718343793e-02       4.321625652415e-01       4.320200525891e-01 
       7.658597794245e-05      -9.032538021641e-02      -7.040372302113e-02      -7.040384753137e-02      -9.024911289563e-02      -9.126774949870e-02      -7.041058493690e-02       4.321441626717e-01       4.320038273630e-01 
       8.821638686582e-05      -1.183356581330e-01      -9.340705179695e-02      -9.340727045763e-02      -1.182026751034e-01      -1.199771157013e-01      -9.341570530776e-02       4.321225630239e-01       4.319847609328e-01 
       1.000169211334e-04      -1.498956562209e-01      -1.200631185873e-01      -1.200634788907e-01      -1.496783429911e-01      -1.525747993406e-01      -1.200735791652e-01       4.320976330907e-01       4.319627247965e-01 
       1.120138812866e-04      -1.848735841468e-01      -1.505862196553e-01      -1.505867847104e-01      -1.845360103188e-01      -1.890295483167e-01      -1.505984020689e-01       4.320692162098e-01       4.319375672504e-01 
       1.242348285901e-04      -2.231035146633e-01      -1.852270249615e-01      -1.852278769290e-01      -2.226000239451e-01      -2.292921826797e-01      -1.852407228338e-01       4.320371322176e-01       4.319091130946e-01 
       1.367087802636e-04      -2.643778462435e-01      -2.242763799557e-01      -2.242776241410e-01      -2.636515221586e-01      -2.732891235585e-01      -2.242912420729e-01       4.320011746414e-01       4.318771605082e-01 
       1.494664178164e-04      -3.084385874354e-01      -2.680697945459e-01      -2.680715642992e-01      -3.074195957826e-01      -3.209145549760e-01      -2.680852974063e-01       4.319611097992e-01       4.318414797705e-01 
       1.625403100413e-04      -3.549674279619e-01      -3.169927115173e-01      -3.169951741290e-01      -3.535712446757e-01      -3.720209973080e-01      -3.170081275902e-01       4.319166741662e-01       4.318018101532e-01 
       1.759651521417e-04      -4.035745978994e-01      -3.714866651077e-01      -3.714900288766e-01      -4.017001693629e-01      -4.264080575770e-01      -3.715010262228e-01       4.318675724364e-01       4.317578573942e-01 
       1.897780223194e-04      -4.537866733745e-01      -4.320564566047e-01      -4.320609793820e-01      -4.513145380459e-01      -4.838091206429e-01      -4.320685119912e-01       4.318134748325e-01       4.317092903070e-01 
       2.040186569110e-04      -5.050335418424e-01      -4.992784952703e-01      -4.992844947100e-01      -5.018240266008e-01      -5.438757649073e-01      -4.992866637164e-01       4.317540148188e-01       4.316557376371e-01 
       2.187297447984e-04      -5.566350790963e-01      -5.738104723234e-01      -5.738183383325e-01      -5.525266558023e-01      -6.061597419224e-01      -5.738127882484e-01       4.316887860281e-01       4.315967839770e-01 
       2.339572412864e-04      -6.077882493428e-01      -6.564025606736e-01      -6.564127703597e-01      -6.025962735838e-01      -6.700924712153e-01      -6.563966138988e-01       4.316173394038e-01       4.315319657068e-01 
       2.497507008914e-04      -6.575558769733e-01      -7.479103554373e-01      -7.479234911114e-01      -6.510719724790e-01      -7.349621932265e-01      -7.478932249721e-01       4.315391802932e-01       4.314607666973e-01 
       2.661636274439e-04      -7.048589177767e-01      -8.493097933215e-01      -8.493265642112e-01      -6.968513181990e-01      -7.998892313286e-01      -8.492779760476e-01       4.314537652734e-01       4.313826135524e-01 
       2.832538385149e-04      -7.484746392855e-01      -9.617143114523e-01      -9.617355796911e-01      -7.386900158442e-01      -8.638002846272e-01      -9.616636472085e-01       4.313604992263e-01       4.312968709230e-01 
       3.010838393218e-04      -7.870442010308e-01      -1.086394520832e+00      -1.086421332588e+00      -7.752115668935e-01      -9.254033731427e-01      -1.086320116668e+00       4.312587321570e-01       4.312028364339e-01 
       3.197211988802e-04      -8.190940829370e-01      -1.224800680546e+00      -1.224834303281e+00      -8.049314996342e-01      -9.831660267189e-01      -1.224696838372e+00       4.311477565392e-01       4.310997360915e-01 
       3.392389181229e-04      -8.430767400776e-01      -1.378588251065e+00      -1.378630217481e+00      -8.263018506584e-01      -1.035300650725e+00      -1.378448404248e+00       4.310268043519e-01       4.309867194868e-01 
       3.597157759348e-04      -8.574370862227e-01      -1.549646781931e+00      -1.549698941832e+00      -8.377824464603e-01      -1.079762734435e+00      -1.549463449073e+00       4.308950444580e-01       4.308628556628e-01 
       3.812366344790e-04      -8.607115872523e-01      -1.740132335367e+00      -1.740196916444e+00      -8.379458353150e-01      -1.114269704148e+00      -1.739897101562e+00       4.307515804084e-01       4.307271300581e-01 
       4.038926798210e-04      -8.516658160729e-01      -1.952503546868e+00      -1.952583224540e+00      -8.256217980908e-01      -1.136350652252e+00      -1.952207084152e+00       4.305954470329e-01       4.305784413376e-01 
       4.277815677867e-04      -8.294740110147e-01      -2.189561287317e+00      -2.189659264419e+00      -8.000842485256e-01      -1.143439590002e+00      -2.189193428041e+00       4.304256077849e-01       4.304156006434e-01 
       4.530074384697e-04      -7.939376675500e-01      -2.454491659310e+00      -2.454611755833e+00      -7.612767713295e-01      -1.133026636278e+00      -2.454041535401e+00       4.302409500924e-01       4.302373312116e-01 
       4.796807563165e-04      -7.457291695203e-01      -2.750911777649e+00      -2.751058527898e+00      -7.100615486745e-01      -1.102881548678e+00      -2.750368032747e+00       4.300402797545e-01       4.300422701366e-01 
       5.079179270207e-04      -6.866304290859e-01      -3.082917367601e+00      -3.083096124254e+00      -6.484588079280e-01      -1.051360478247e+00      -3.082268442387e+00       4.298223118320e-01       4.298289703885e-01 
