# Matter power spectrum P(k) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.063094627304e-06       1.010797340268e+02 
       1.799879852529e-05       2.192256368689e+02 
       2.795531670261e-05       3.351524754047e+02 
       3.794857284474e-05       4.499833928843e+02 
       4.799464795472e-05       5.643052505284e+02 
       5.810986579511e-05       6.785244818818e+02 
       6.831087998549e-05       7.929654219769e+02 
       7.861476346671e-05       9.079095456222e+02 
       8.903910104816e-05       1.023614515950e+03 
       9.960208576256e-05       1.140324911558e+03 
       1.103226197607e-04       1.258278923098e+03 
       1.212204204863e-04       1.377712918836e+03 
       1.323161328746e-04       1.498864841892e+03 
       1.436314483177e-04       1.621976906799e+03 
       1.551892311236e-04       1.747297875067e+03 
       1.670136531707e-04       1.875085080523e+03 
       1.791303374080e-04       2.005606280949e+03 
       1.915665107696e-04       2.139141438809e+03 
       2.043511669539e-04       2.275984445811e+03 
       2.175152393408e-04       2.416444810292e+03 
       2.310917840800e-04       2.560849356193e+03 
       2.451161730514e-04       2.709543883845e+03 
       2.596262959596e-04       2.862894836890e+03 
       2.746627702457e-04       3.021290912313e+03 
       2.902691567586e-04       3.185144628716e+03 
       3.064921781847e-04       3.354893790320e+03 
       3.233819360610e-04       3.531002780595e+03 
       3.409921207563e-04       3.713963655805e+03 
       3.593802070753e-04       3.904296910786e+03 
       3.786076260986e-04       4.102551857647e+03 
       3.987399015405e-04       4.309306414315e+03 
       4.198467363095e-04       4.525166261982e+03 
       4.420020322063e-04       4.750763044643e+03 
       4.652838229331e-04       4.986751622964e+03 
       4.897740980930e-04       5.233805907733e+03 
       5.155584939622e-04       5.492613368217e+03 
       5.427258260208e-04       5.763867626592e+03 
       5.713674391044e-04       6.048259415169e+03 
       6.015763542509e-04       6.346465302773e+03 
       6.334461975377e-04       6.659134446735e+03 
       6.670699059687e-04       6.986873434727e+03 
       7.025382190504e-04       7.330229265347e+03 
       7.399379818654e-04       7.689671084931e+03 
       7.793503053074e-04       8.065571348209e+03 
       8.208486500002e-04       8.458186961158e+03 
       8.644969197837e-04       8.867642091525e+03 
       9.103476654871e-04       9.293913230945e+03 
       9.584405068746e-04       9.736817810135e+03 
       1.008800877574e-03       1.019600756379e+04 
       1.061439183157e-03       1.067096755213e+04 
       1.072483128768e-03       1.076997199121e+04 
       1.116350436862e-03       1.116102034171e+04 
       1.173514403223e-03       1.166533660316e+04 
       1.232896241352e-03       1.218295020214e+04 
       1.294447601936e-03       1.271277767181e+04 
       1.358108100175e-03       1.325364041422e+04 
       1.423807064833e-03       1.380428912002e+04 
       1.491465453149e-03       1.436342846427e+04 
       1.560997822702e-03       1.492974155690e+04 
       1.632314262396e-03       1.550191191671e+04 
       1.705322202710e-03       1.607864456842e+04 
       1.779928046787e-03       1.665868245385e+04 
       1.856038585803e-03       1.724081863336e+04 
       1.933562181946e-03       1.782391009736e+04 
       2.012409718799e-03       1.840688153038e+04 
       2.092495331292e-03       1.898873155822e+04 
       2.173736935682e-03       1.956853507284e+04 
       2.256056584747e-03       2.014544397218e+04 
       2.339380675166e-03       2.071868506647e+04 
       2.423640033730e-03       2.128755884569e+04 
       2.508769907240e-03       2.185143587288e+04 
       2.594709878323e-03       2.240975281470e+04 
       2.681403726373e-03       2.296200954918e+04 
       2.768799249735e-03       2.350776316348e+04 
       2.856848062322e-03       2.404662635167e+04 
       2.945505375205e-03       2.457826073264e+04 
       3.034729771363e-03       2.510237495063e+04 
       3.124482979861e-03       2.561871894120e+04 
       3.214729654051e-03       2.612707946349e+04 
       3.305437157091e-03       2.662727997907e+04 
       3.396575357037e-03       2.711917449247e+04 
       3.488116432894e-03       2.760264499958e+04 
       3.580034692457e-03       2.807759869018e+04 
       3.672306402225e-03       2.854396325070e+04 
       3.764909629376e-03       2.900168906657e+04 
       3.857824095512e-03       2.945074256658e+04 
       3.951031041736e-03       2.989111048242e+04 
       4.044513104485e-03       3.032278489914e+04 
       4.138254201498e-03       3.074578132363e+04 
       4.232239427261e-03       3.116012137675e+04 
       4.326454957242e-03       3.156583799855e+04 
       4.420887960284e-03       3.196297407638e+04 
       4.515526518479e-03       3.235157735222e+04 
       4.610359553953e-03       3.273170582431e+04 
       4.705376761949e-03       3.310342418948e+04 
       4.800568549696e-03       3.346680090418e+04 
       4.895925980552e-03       3.382190355230e+04 
       4.991440722952e-03       3.416881687140e+04 
       5.087105003751e-03       3.450761694192e+04 
       5.182911565553e-03       3.483838665587e+04 
       5.278853627679e-03       3.516121428069e+04 
       5.374924850450e-03       3.547618530979e+04 
       5.471119302468e-03       3.578339164418e+04 
       5.567431430657e-03       3.608292081119e+04 
       5.663856032782e-03       3.637486640687e+04 
       5.760388232250e-03       3.665932255742e+04 
       5.857023454974e-03       3.693637951172e+04 
       5.953757408127e-03       3.720613235436e+04 
       6.050586060610e-03       3.746868271090e+04 
       6.147505625087e-03       3.772411614659e+04 
       6.244512541451e-03       3.797252945135e+04 
       6.341603461591e-03       3.821401669060e+04 
       6.438775235358e-03       3.844867440537e+04 
       6.536024897612e-03       3.867659258148e+04 
       6.633349656274e-03       3.889787196803e+04 
       6.730746881282e-03       3.911259107933e+04 
       6.828214094389e-03       3.932086258920e+04 
       6.925748959723e-03       3.952275443615e+04 
       7.023349275051e-03       3.971836927601e+04 
       7.121012963686e-03       3.990779922072e+04 
       7.218738066990e-03       4.009111436581e+04 
       7.316522737415e-03       4.026841875199e+04 
