# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       8.063094627304e-06      -1.289045930973e-03      -9.673062714476e-04      -9.673062967129e-04      -1.290195334690e-03      -1.289030881260e-03      -9.674280947254e-04       4.025327203170e-01       4.023729295365e-01 
       1.799879852529e-05      -6.409367129162e-03      -4.819969262893e-03      -4.819969889971e-03      -6.414782282505e-03      -6.408992066917e-03      -4.820571437384e-03       4.025285109557e-01       4.023692199955e-01 
       2.795531670261e-05      -1.540285407822e-02      -1.162733792847e-02      -1.162734157506e-02      -1.541459258447e-02      -1.540067466283e-02      -1.162876992923e-02       4.025210490828e-01       4.023626389898e-01 
       3.794857284474e-05      -2.822791757903e-02      -2.142565273383e-02      -2.142566510336e-02      -2.824605703141e-02      -2.822054801323e-02      -2.142823697000e-02       4.025103369732e-01       4.023531886662e-01 
       4.799464795472e-05      -4.482761961007e-02      -3.427030119033e-02      -3.427033279430e-02      -4.484938032264e-02      -4.480886532831e-02      -3.427432106385e-02       4.024963222103e-01       4.023408169557e-01 
       5.810986579511e-05      -6.512809917798e-02      -5.023640520006e-02      -5.023647299879e-02      -6.514693534948e-02      -6.508806343947e-02      -5.024209244075e-02       4.024789472565e-01       4.023254670123e-01 
       6.831087998549e-05      -8.903647125478e-02      -6.941964288952e-02      -6.941977209555e-02      -8.904112130481e-02      -8.896062180975e-02      -6.942716391334e-02       4.024581299873e-01       4.023070575887e-01 
       7.861476346671e-05      -1.164381884058e-01      -9.193732371240e-02      -9.193754980405e-02      -1.164116760199e-01      -1.163063771221e-01      -9.194676474245e-02       4.024337825208e-01       4.022855017200e-01 
       8.903910104816e-05      -1.471938379117e-01      -1.179297261738e-01      -1.179300971746e-01      -1.471124145502e-01      -1.469792645315e-01      -1.179410768562e-01       4.024057939010e-01       4.022606892748e-01 
       9.960208576256e-05      -1.811353594342e-01      -1.475617265826e-01      -1.475623056653e-01      -1.809673871359e-01      -1.808034788599e-01      -1.475748618172e-01       4.023740358716e-01       4.022324925126e-01 
       1.103226197607e-04      -2.180616732651e-01      -1.810247428786e-01      -1.810256113606e-01      -2.177664427199e-01      -2.175690417488e-01      -1.810394025779e-01       4.023383629178e-01       4.022007659099e-01 
       1.212204204863e-04      -2.577337151487e-01      -2.185390244498e-01      -2.185402852771e-01      -2.572601987652e-01      -2.570267756576e-01      -2.185547909523e-01       4.022986089814e-01       4.021653426003e-01 
       1.323161328746e-04      -2.998688820922e-01      -2.603563281719e-01      -2.603581099539e-01      -2.991544416599e-01      -2.988827087786e-01      -2.603726009976e-01       4.022545875814e-01       4.021260341534e-01 
       1.436314483177e-04      -3.441349566686e-01      -3.067630239879e-01      -3.067654857153e-01      -3.431040082718e-01      -3.427919618242e-01      -3.067789916877e-01       4.022060907727e-01       4.020826291550e-01 
       1.551892311236e-04      -3.901435753609e-01      -3.580836820210e-01      -3.580870185996e-01      -3.887062462695e-01      -3.883522134291e-01      -3.580982908851e-01       4.021528880007e-01       4.020348916059e-01 
       1.670136531707e-04      -4.374434087270e-01      -4.146852017471e-01      -4.146896504861e-01      -4.354942131233e-01      -4.350969048080e-01      -4.146971211795e-01       4.020947255507e-01       4.019825598400e-01 
